year	month	day	max_wind_gust	xwser	avg_wind_speed	awser	avg_wind_dir	awder	sol_rad	soler	max_air_temp	xater	min_air_temp	nater	avg_air_temp	aater	max_rel_hum	xrher	min_rel_hum	nrher	avg_rel_hum	arher	avg_dewpt_temp	adper	precip	pcer	pot_evapot	pevaper	max_soiltemp_4in_sod	xst4soder	min_soiltemp_4in_sod	nst4soder	avg_soiltemp_4in_sod	ast4soder	max_soiltemp_8in_sod	xst8soder	min_soiltemp_8in_sod	nst8soder	avg_soiltemp_8in_sod	ast8soder	max_soiltemp_4in_bare	xst4bareer	min_soiltemp_4in_bare	nst4bareer	avg_soiltemp_4in_bare	ast4bareer	max_soiltemp_2in_bare	xst2bareer	min_soiltemp_2in_bare	nst2bareer	avg_soiltemp_2in_bare	ast2bareer	site
			mph		mph		deg		MJ/m*m		degF		degF		degF		%		%		%		degF		in		in		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		
2018	1	1	16.3		7.9		284.0		10.4		-4.1		-17.9		-11.5		79.5		62.6		72.1		-18.0		0.00		0.01		32.2		32.0		32.0		32.8		32.5		32.7		30.8		30.3		30.5		30.5		29.4		29.9		bbc
2018	1	2	20.2		8.6		231.0		11.3		13.0		-17.7		-4.1		83.4		53.6		72.3		-10.9		0.00		0.02		32.0		31.6		31.8		32.6		32.3		32.5		30.7		30.1		30.4		30.3		29.3		29.6		bbc
2018	1	3	19.7		9.1		291.5		10.0		17.5		-4.5		10.0		85.0		63.1		75.0		3.6		0.01		0.03		31.7		31.4		31.6		32.4		32.2		32.3		31.1		30.5		30.9		30.9		29.8		30.5		bbc
2018	1	4	11.2		5.0		298.3		9.4		8.2		-13.7		0.8		85.5		61.8		76.5		-4.9		0.00		0.02		31.5		31.1		31.3		32.2		32.0		32.1		30.9		30.3		30.6		30.4		29.5		30.0		bbc
2018	1	5	11.4		4.5		305.7		10.9		10.1		-9.7		0.8		88.8		58.8		75.0		-5.4		0.00		0.02		31.3		30.8		31.1		32.1		31.9		32.0		30.8		30.3		30.6		30.4		29.5		30.1		bbc
2018	1	6	16.1		4.7		190.7		12.1		9.4		-20.2		-4.6		85.8		62.0		76.6		-10.1		0.00		0.02		30.9		30.2		30.5		31.9		31.5		31.7		30.3		29.7		30.0		29.7		28.8		29.2		bbc
2018	1	7	20.7		8.8		185.0		2.5		33.5		9.2		25.4		98.5		61.7		80.9		20.2		0.05		0.02		31.4		30.2		30.7		31.8		31.4		31.6		31.6		30.1		30.8		31.3		29.4		30.4		bbc
2018	1	8	17.0		6.2		249.9		9.1		40.3		23.3		33.5		99.8		72.3		89.8		30.7		0.12		0.04		31.9		31.4		31.6		32.0		31.8		31.9		31.9		31.6		31.8		31.8		31.3		31.6		bbc
2018	1	9	19.8		8.0		138.7		4.5		34.2		22.2		28.9		99.9		89.5		96.7		28.0		0.00		0.02		32.0		31.8		31.9		32.1		32.0		32.0		31.9		31.8		31.9		31.9		31.7		31.8		bbc
2018	1	10	26.6		12.5		167.7		2.9		53.0		32.5		40.8		101.0		88.6		98.7		40.4		0.07		0.01		32.6		32.0		32.1		32.2		32.1		32.1		32.6		31.9		32.1		33.0		31.9		32.1		bbc
2018	1	11	25.2		10.5		251.9		1.4		53.4		11.9		34.4		100.0		80.5		92.2		32.4		0.20		0.01		32.4		32.1		32.2		32.2		32.1		32.2		35.6		31.9		32.7		40.4		32.0		34.8		bbc
2018	1	12	23.3		11.2		341.4		7.1		20.1		8.9		14.9		84.9		66.0		77.4		9.1		0.00		0.02		32.2		32.1		32.1		32.4		32.2		32.3		31.9		27.2		30.8		32.0		23.6		29.0		bbc
2018	1	13	15.9		5.9		310.4		10.7		14.5		0.0		7.2		90.4		53.0		70.2		-0.6		0.00		0.03		32.2		30.9		31.9		32.5		32.3		32.4		30.4		23.5		26.5		30.9		19.5		24.3		bbc
2018	1	14	23.8		9.8		167.0		4.0		21.6		-1.6		12.3		96.5		65.2		84.8		8.5		0.03		0.02		30.9		29.4		30.1		32.3		31.9		32.1		28.2		21.4		25.1		27.6		17.9		23.4		bbc
2018	1	15	26.8		11.6		261.4		6.9		22.5		0.4		11.3		98.0		75.4		87.1		8.2		0.04		0.01		31.2		30.4		30.9		32.0		31.7		31.9		30.0		28.1		29.3		30.1		27.6		29.1		bbc
2018	1	16	19.4		8.7		290.6		9.1		18.4		-1.2		7.8		87.5		75.1		82.2		3.5		0.00		0.02		31.1		30.4		30.7		31.7		31.5		31.6		30.0		28.3		29.0		30.4		27.9		28.8		bbc
2018	1	17	22.5		9.3		241.1		11.7		22.8		-0.8		11.1		88.0		60.0		79.2		5.8		0.00		0.03		30.8		29.8		30.3		31.5		31.2		31.3		29.7		27.3		28.6		30.3		26.7		28.4		bbc
2018	1	18	22.9		10.9		222.4		10.8		34.6		17.2		25.8		82.2		57.0		73.5		18.5		0.00		0.04		31.4		29.9		30.6		31.7		31.1		31.3		30.7		28.5		29.6		31.3		28.1		29.7		bbc
2018	1	19	28.8		12.2		211.4		8.5		44.4		26.7		35.9		82.4		61.2		71.9		27.7		0.00		0.05		31.7		30.6		31.2		31.8		31.4		31.6		31.4		29.7		30.5		31.9		29.3		30.7		bbc
2018	1	20	14.3		5.7		188.8		10.1		49.8		32.5		39.2		98.2		62.6		83.3		34.4		0.00		0.05		31.9		31.7		31.8		32.0		31.8		31.9		31.7		31.0		31.4		32.2		31.0		31.9		bbc
2018	1	21	11.9		5.7		89.3		1.7		45.6		36.3		41.1		100.7		92.3		97.9		40.6		0.01		0.01		32.0		31.9		31.9		32.0		32.0		32.0		32.2		31.6		31.8		34.8		32.1		33.2		bbc
2018	1	22	24.6		8.5		163.3		6.2		58.8		34.1		46.6		101.2		58.6		88.1		42.9		0.37		0.04		32.5		32.0		32.0		32.1		32.0		32.1		39.8		32.2		35.0		46.4		32.4		38.1		bbc
2018	1	23	23.4		9.8		305.8		2.5		36.7		26.2		30.8		97.6		73.0		86.5		27.2		0.00		0.02		32.1		32.0		32.1		32.1		32.1		32.1		32.2		31.9		31.9		32.4		17.9		32.2		bbc
2018	1	24	13.6		4.5		258.1		6.6		33.5		21.7		27.9		98.6		65.4		83.0		23.3		0.00		0.03		32.1		32.1		32.1		32.1		32.1		32.1		31.9		31.9		31.9		32.2		32.1		32.1		bbc
2018	1	25	16.7		7.5		150.2		11.6		49.0		27.1		35.1		96.3		56.8		84.8		30.6		0.00		0.05		32.2		32.1		32.1		32.1		32.1		32.1		32.1		31.9		31.9		33.6		32.1		32.2		bbc
2018	1	26	29.8		14.3		179.4		6.3		53.2		33.2		43.4		91.8		54.5		70.7		34.3		0.00		0.06		32.2		32.0		32.1		32.1		32.1		32.1		35.5		31.9		33.0		39.4		32.1		34.3		bbc
2018	1	27	18.1		7.1		254.6		11.8		50.6		33.5		41.1		92.1		46.7		71.1		32.0		0.00		0.07		32.2		32.1		32.1		32.2		32.1		32.2		41.0		32.0		35.0		46.2		32.2		36.8		bbc
2018	1	28	16.2		5.7		286.3		6.5		36.7		24.5		30.9		99.5		71.0		84.2		26.6		0.00		0.03		32.2		32.1		32.1		32.2		32.2		32.2		32.6		32.0		32.1		33.2		32.2		32.4		bbc
2018	1	29	17.8		7.0		327.1		7.5		30.8		16.6		25.3		84.0		53.0		73.4		17.8		0.00		0.03		32.2		32.1		32.1		32.3		32.2		32.2		32.1		32.1		32.1		32.3		32.1		32.2		bbc
2018	1	30	26.9		10.1		205.3		10.0		33.1		10.4		23.8		93.2		47.5		71.4		15.4		0.00		0.05		32.2		32.1		32.1		32.3		32.2		32.3		32.1		31.1		31.7		32.1		27.8		31.1		bbc
2018	1	31	25.8		10.8		243.3		5.6		43.9		32.7		37.7		80.1		54.4		64.3		26.6		0.00		0.05		32.2		32.1		32.1		32.4		32.3		32.3		31.8		31.5		31.7		32.1		30.9		31.8		bbc
																																																					
																																																					
M = Missing Data																																																					
