year	month	day	max_wind_gust	xwser	avg_wind_speed	awser	avg_wind_dir	awder	sol_rad	soler	max_air_temp	xater	min_air_temp	nater	avg_air_temp	aater	max_rel_hum	xrher	min_rel_hum	nrher	avg_rel_hum	arher	avg_dewpt_temp	adper	precip	pcer	pot_evapot	pevaper	max_soiltemp_4in_sod	xst4soder	min_soiltemp_4in_sod	nst4soder	avg_soiltemp_4in_sod	ast4soder	max_soiltemp_8in_sod	xst8soder	min_soiltemp_8in_sod	nst8soder	avg_soiltemp_8in_sod	ast8soder	max_soiltemp_4in_bare	xst4bareer	min_soiltemp_4in_bare	nst4bareer	avg_soiltemp_4in_bare	ast4bareer	max_soiltemp_2in_bare	xst2bareer	min_soiltemp_2in_bare	nst2bareer	avg_soiltemp_2in_bare	ast2bareer	site
			mph		mph		deg		MJ/m*m		degF		degF		degF		%		%		%		degF		in		in		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		
2018	1	1	18.0		8.5		318.7		11.0		8.2		-8.3		0.0		74.2		46.1		64.1		-9.4		0.00		0.02		34.8		34.3		34.5		34.7		34.1		34.3		28.9		25.3		27.0		27.4		20.7		23.6		brw
2018	1	2	12.5		5.0		241.6		11.1		16.1		-5.7		5.1		77.4		46.6		63.7		-4.8		0.00		0.03		34.3		34.0		34.1		34.1		33.7		33.8		29.0		23.6		26.0		28.2		19.6		23.3		brw
2018	1	3	23.4		10.5		276.2		4.8		23.7		5.2		16.3		74.0		50.3		60.3		4.8		0.00		0.03		34.0		33.9		34.0		33.7		33.5		33.6		29.3		25.6		27.3		28.6		22.7		25.5		brw
2018	1	4	16.9		7.2		317.6		10.4		15.3		-1.2		7.7		80.8		45.5		64.5		-2.1		0.00		0.03		33.9		33.7		33.8		33.5		33.3		33.3		28.0		22.7		25.4		27.4		19.2		23.3		brw
2018	1	5	11.7		4.6		156.6		8.1		19.5		2.1		11.0		83.5		46.6		69.9		2.8		0.01		0.03		33.8		33.6		33.7		33.3		33.2		33.2		29.5		25.3		27.5		29.4		22.2		26.1		brw
2018	1	6	10.1		2.9		108.4		11.4		21.0		-3.9		9.0		82.1		31.6		58.6		-3.6		0.00		0.03		33.6		33.2		33.4		33.2		33.0		33.0		28.3		21.5		25.0		28.2		18.1		23.0		brw
2018	1	7	21.3		6.9		171.3		4.7		40.7		13.0		29.1		93.6		33.8		55.4		14.1		0.20		0.04		33.6		33.2		33.4		33.0		32.9		32.9		30.5		25.4		27.9		30.6		23.3		27.3		brw
2018	1	8	15.9		5.7		264.3		2.0		37.1		29.6		34.3		95.6		89.2		92.9		32.4		0.01		0.01		33.8		33.6		33.7		33.0		32.9		32.9		31.2		30.4		31.0		31.4		30.6		31.1		brw
2018	1	9	11.7		3.5		146.2		3.1		37.5		28.6		32.5		96.0		84.6		92.8		30.6		0.01		0.02		33.8		33.7		33.8		33.0		32.9		33.0		31.5		31.2		31.4		31.6		31.4		31.5		brw
2018	1	10	26.8		8.1		172.8		2.0		57.1		37.2		48.7		95.9		85.0		92.5		46.6		0.07		0.02		33.9		33.8		33.8		33.1		33.0		33.1		31.8		31.5		31.6		35.5		31.6		32.4		brw
2018	1	11	32.4		12.1		222.3		2.7		63.2		17.6		50.0		92.4		78.0		87.7		46.5		0.07		0.03		34.1		33.9		34.0		33.4		33.1		33.2		37.5		31.7		34.4		43.6		32.6		38.8		brw
2018	1	12	32.5		17.5		338.2		2.1		22.5		12.8		18.1		84.2		66.3		76.7		12.0		0.06		0.02		34.8		34.0		34.4		33.9		33.4		33.6		32.5		31.8		31.9		32.6		31.8		31.9		brw
2018	1	13	22.9		8.8		236.8		10.8		22.1		11.8		17.0		73.6		36.4		60.5		5.5		0.00		0.04		34.8		34.7		34.8		34.0		33.9		33.9		31.9		31.7		31.8		31.8		29.6		30.8		brw
2018	1	14	16.5		5.0		141.9		6.4		23.3		9.0		17.1		90.2		42.4		69.3		8.3		0.04		0.03		34.8		34.6		34.7		33.9		33.7		33.8		31.8		29.5		30.7		30.5		26.0		28.8		brw
2018	1	15	24.7		11.1		259.1		5.3		26.3		3.8		17.0		94.0		61.7		76.0		10.6		0.06		0.02		34.7		34.6		34.6		33.7		33.7		33.7		31.0		30.3		30.8		30.7		29.0		30.2		brw
2018	1	16	18.6		9.9		286.3		9.9		9.1		-2.3		4.1		78.7		65.3		71.9		-2.9		0.00		0.02		34.6		34.5		34.5		33.7		33.6		33.6		30.3		28.3		29.2		29.1		26.3		27.7		brw
2018	1	17	13.3		6.5		241.5		12.6		21.2		-0.9		10.8		85.5		62.7		75.1		4.4		0.00		0.03		34.5		34.4		34.4		33.6		33.5		33.5		29.9		27.5		28.8		29.4		25.4		27.4		brw
2018	1	18	21.0		9.9		203.6		12.0		35.4		14.4		24.1		78.7		47.4		64.5		13.6		0.00		0.05		34.4		34.3		34.3		33.5		33.4		33.4		30.7		28.5		29.6		30.5		27.0		28.7		brw
2018	1	19	21.9		10.6		194.5		11.5		44.2		24.7		33.3		75.6		46.0		61.4		21.2		0.00		0.07		34.4		34.3		34.3		33.4		33.3		33.4		31.2		29.4		30.3		31.2		28.1		29.8		brw
2018	1	20	18.9		7.6		186.9		8.1		54.2		33.1		40.8		94.4		56.1		72.7		32.4		0.00		0.06		34.4		34.3		34.4		33.4		33.3		33.4		31.6		31.1		31.4		31.7		31.2		31.4		brw
2018	1	21	18.7		6.2		173.1		2.7		55.7		43.3		50.6		95.6		82.7		92.6		48.5		0.03		0.02		34.5		34.4		34.4		33.5		33.4		33.4		31.8		31.6		31.7		35.7		31.7		32.7		brw
2018	1	22	35.0		11.3		195.6		7.4		59.6		35.9		51.0		94.7		37.9		71.9		41.6		0.67		0.07		37.9		34.4		36.0		35.7		33.3		34.1		38.0		31.8		34.6		43.6		34.7		38.3		brw
2018	1	23	27.0		13.2		274.5		1.5		36.7		31.3		33.5		92.7		69.5		82.4		28.6		0.01		0.02		37.3		36.9		37.0		35.8		35.7		35.7		33.7		32.5		32.8		34.7		18.1		32.9		brw
2018	1	24	17.3		5.7		255.9		10.3		37.1		26.6		31.2		88.2		57.2		74.1		23.8		0.00		0.05		38.3		36.8		37.3		36.5		35.5		35.8		37.4		32.6		34.2		39.4		32.3		34.2		brw
2018	1	25	22.7		8.0		169.8		12.6		57.5		26.9		41.8		86.7		32.4		61.6		28.0		0.00		0.09		39.1		36.7		37.7		37.0		35.5		36.1		39.1		33.3		35.5		41.4		32.7		35.7		brw
2018	1	26	29.1		12.0		187.5		10.5		57.7		39.5		49.6		62.0		25.3		43.5		27.4		0.00		0.12		41.4		38.5		39.8		38.8		36.9		37.6		41.4		34.7		38.3		43.5		33.9		38.9		brw
2018	1	27	19.1		6.9		207.8		7.7		53.3		29.3		45.9		92.6		40.1		70.1		36.1		0.02		0.06		43.3		41.2		42.2		40.7		38.8		39.8		46.1		39.1		42.4		48.5		37.0		43.1		brw
2018	1	28	20.4		4.0		260.2		12.9		54.5		26.9		39.1		86.6		22.0		61.7		25.5		0.00		0.08		41.6		39.1		40.4		40.1		38.2		39.1		43.9		35.7		39.2		46.5		34.3		38.8		brw
2018	1	29	21.7		10.7		320.2		2.1		31.8		20.3		28.4		88.5		56.5		75.5		21.6		0.01		0.02		40.7		38.7		39.6		39.5		37.8		38.5		39.3		35.4		36.4		37.1		33.5		34.4		brw
2018	1	30	23.8		5.1		213.9		13.4		35.5		14.6		26.2		91.3		35.5		63.7		14.5		0.00		0.06		38.7		37.3		37.7		37.8		36.6		37.0		35.4		34.5		34.8		33.5		32.7		32.9		brw
2018	1	31	26.8		9.7		203.9		9.3		51.9		31.4		40.9		76.6		41.7		52.9		24.8		0.00		0.08		39.8		37.3		38.2		37.9		36.4		36.9		38.7		34.6		35.9		38.6		32.7		34.4		brw

																																																					
																																																					
M = Missing Data																																																					
E = Estimated Data																																																					
																																																					

If ICN data are used, the program and network should be referenced.  Our suggested citation is
Water and Atmospheric Resources Monitoring Program. Illinois Climate Network. (2018). Illinois State Water Survey, 2204 Griffith Drive, Champaign, IL 61820-7495. http://dx.doi.org/10.13012/J8MW2F2Q.
