year	month	day	max_wind_gust	xwser	avg_wind_speed	awser	avg_wind_dir	awder	sol_rad	soler	max_air_temp	xater	min_air_temp	nater	avg_air_temp	aater	max_rel_hum	xrher	min_rel_hum	nrher	avg_rel_hum	arher	avg_dewpt_temp	adper	precip	pcer	pot_evapot	pevaper	max_soiltemp_4in_sod	xst4soder	min_soiltemp_4in_sod	nst4soder	avg_soiltemp_4in_sod	ast4soder	max_soiltemp_8in_sod	xst8soder	min_soiltemp_8in_sod	nst8soder	avg_soiltemp_8in_sod	ast8soder	max_soiltemp_4in_bare	xst4bareer	min_soiltemp_4in_bare	nst4bareer	avg_soiltemp_4in_bare	ast4bareer	max_soiltemp_2in_bare	xst2bareer	min_soiltemp_2in_bare	nst2bareer	avg_soiltemp_2in_bare	ast2bareer	site
			mph		mph		deg		MJ/m*m		degF		degF		degF		%		%		%		degF		in		in		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		
2018	1	1	16.4		9.8		288.9		12.4		-4.2		-15.1		-10.3		79.8		66.9		73.4		-16.5		0.00		0.01		29.7		27.6		28.7		32.6		32.1		32.4		32.1		31.5		31.8		30.0		28.8		29.4		bvl
2018	1	2	16.5		8.8		230.3		12.7		5.1		-16.9		-5.4		82.3		66.4		75.8		-11.1		0.00		0.02		27.6		26.4		27.0		32.1		31.5		31.8		31.5		31.1		31.3		29.8		28.3		28.9		bvl
2018	1	3	23.1		13.7		275.8		6.6		18.8		-4.5		10.3		88.7		66.0		76.0		4.2		0.00		0.02		28.5		26.9		27.7		31.5		31.3		31.4		31.6		31.1		31.3		30.7		28.8		29.9		bvl
2018	1	4	17.0		10.6		311.1		12.4		6.7		-10.9		-0.2		81.8		65.1		75.4		-6.1		0.00		0.02		27.7		26.1		26.8		31.3		30.8		31.0		31.4		31.0		31.1		29.9		28.8		29.5		bvl
2018	1	5	14.8		9.0		324.0		11.6		7.8		-10.9		2.5		80.4		62.0		72.7		-4.3		0.00		0.02		27.7		25.9		27.1		30.8		30.6		30.7		31.3		30.9		31.2		30.3		28.5		29.8		bvl
2018	1	6	17.4		5.7		235.3		12.7		17.2		-16.1		-3.6		83.3		37.7		73.3		-10.2		0.00		0.03		26.0		24.2		25.2		30.6		30.0		30.2		30.9		30.6		30.7		29.6		27.8		28.6		bvl
2018	1	7	26.0		16.4		173.9		6.1		34.1		6.5		24.7		96.4		61.4		72.3		17.0		0.11		0.04		28.8		25.4		27.0		30.6		29.9		30.1		31.5		30.6		31.0		31.9		28.6		30.3		bvl
2018	1	8	19.1		10.9		257.8		3.8		33.5		27.7		31.4		98.0		89.3		95.6		30.3		0.03		0.02		30.7		28.8		29.8		31.3		30.6		31.0		31.9		31.5		31.7		32.1		31.9		32.0		bvl
2018	1	9	17.1		8.7		164.3		4.3		33.6		27.3		29.6		98.1		95.8		97.5		29.0		0.01		0.02		31.2		30.7		30.9		31.5		31.2		31.4		32.0		31.8		31.9		32.1		32.0		32.1		bvl
2018	1	10	34.7		18.0		171.8		1.7		53.7		33.2		44.6		98.2		91.5		96.1		43.5		0.13		0.01		31.8		31.2		31.4		31.6		31.5		31.5		41.8		32.0		34.3		46.9		32.0		36.7		bvl
2018	1	11	36.6		20.0		223.5		2.3		59.3		17.6		47.9		96.0		80.8		92.7		45.9		0.44		0.02		38.4		31.8		35.0		37.2		31.6		33.5		49.8		39.8		45.7		55.6		35.3		48.2		bvl
2018	1	12	37.3		26.3		313.8		2.1		23.0		14.2		18.8		88.1		64.4		78.3		13.1		0.00		0.02		34.6		32.0		32.3		36.9		33.9		35.0		39.8		32.2		34.7		35.3		24.6		30.4		bvl
2018	1	13	32.7		13.7		301.8		12.1		18.7		5.8		12.1		81.4		43.5		67.1		3.1		0.00		0.03		32.0		31.3		31.8		33.9		33.0		33.4		32.3		27.6		30.2		31.4		19.5		24.6		bvl
2018	1	14	24.9		11.7		159.0		9.3		22.3		2.3		13.4		91.5		47.1		76.1		6.9		0.04		0.03		31.3		29.1		29.9		33.0		32.3		32.6		29.8		24.9		27.6		30.4		17.4		23.5		bvl
2018	1	15	30.6		17.6		244.5		9.0		25.4		-2.3		12.6		93.5		73.8		85.3		9.1		0.06		0.02		30.4		29.3		30.1		32.3		32.1		32.2		30.6		29.1		30.1		29.8		26.5		28.6		bvl
