year	month	day	max_wind_gust	xwser	avg_wind_speed	awser	avg_wind_dir	awder	sol_rad	soler	max_air_temp	xater	min_air_temp	nater	avg_air_temp	aater	max_rel_hum	xrher	min_rel_hum	nrher	avg_rel_hum	arher	avg_dewpt_temp	adper	precip	pcer	pot_evapot	pevaper	max_soiltemp_4in_sod	xst4soder	min_soiltemp_4in_sod	nst4soder	avg_soiltemp_4in_sod	ast4soder	max_soiltemp_8in_sod	xst8soder	min_soiltemp_8in_sod	nst8soder	avg_soiltemp_8in_sod	ast8soder	max_soiltemp_4in_bare	xst4bareer	min_soiltemp_4in_bare	nst4bareer	avg_soiltemp_4in_bare	ast4bareer	max_soiltemp_2in_bare	xst2bareer	min_soiltemp_2in_bare	nst2bareer	avg_soiltemp_2in_bare	ast2bareer	site
			mph		mph		deg		MJ/m*m		degF		degF		degF		%		%		%		degF		in		in		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF	
2018	1	1	13.7		5.4		292.4		6.2		-1.7		-13.6		-7.0		74.5		58.1		68.9		-14.5		0.00		0.01		36.7		33.9		34.8		---	M	---	M	---	M	33.7		32.6		33.2		33.2		32.0		32.6		cmi
2018	1	2	14.0		4.6		243.9		8.4		8.7		-13.1		-2.0		84.0		62.2		72.3		-8.7		0.00		0.02		35.0		32.9		33.8		---	M	---	M	---	M	32.7		32.1		32.3		32.0		31.3		31.6		cmi
2018	1	3	16.5		6.0		280.3		5.9		20.2		1.1		12.7		82.7		63.9		71.4		5.2		0.00		0.02		34.7		32.5		33.5		---	M	---	M	---	M	32.5		32.1		32.3		32.1		31.3		31.7		cmi
2018	1	4	13.5		5.0		320.9		11.2		8.8		-2.9		3.5		77.9		56.0		68.5		-4.6		0.00		0.02		34.8		32.9		33.7		---	M	---	M	---	M	32.5		32.2		32.4		31.9		31.5		31.8		cmi
2018	1	5	13.2		4.1		327.2		10.9		9.8		-3.0		5.8		78.4		51.8		65.6		-3.3		0.00		0.02		35.2		32.9		33.7		---	M	---	M	---	M	32.6		32.3		32.4		32.1		31.5		31.8		cmi
2018	1	6	11.2		2.8		195.4		11.2		14.5		-5.5		2.7		82.3		42.4		68.0		-5.7		0.00		0.03		34.6		32.3		33.2		---	M	---	M	---	M	32.4		31.8		32.0		31.5		30.7		31.1		cmi
2018	1	7	15.0		6.1		172.5		5.5		34.5		6.7		25.3		95.5		55.8		70.1		16.7		0.11		0.03		34.3		32.1		33.1		---	M	---	M	---	M	32.4		31.8		32.0		31.9		30.8		31.4		cmi
2018	1	8	14.9		6.1		258.4		3.2		34.1		28.1		32.0		97.8		88.4		95.2		30.7		0.04		0.01		35.7		32.7		34.0		---	M	---	M	---	M	33.2		32.4		32.8		32.9		31.9		32.4		cmi
2018	1	9	10.9		3.7		161.0		3.9		32.9		27.6		30.0		98.0		96.2		97.2		29.3		0.01		0.02		36.7		34.0		35.1		---	M	---	M	---	M	33.5		33.1		33.3		33.2		32.8		33.0		cmi
2018	1	10	20.5		7.2		169.9		1.4		54.2		32.6		44.5		99.0		94.2		97.7		43.9		0.08		0.01		41.5		34.8		37.0		---	M	---	M	---	M	43.4		33.3		36.5		45.4		33.1		37.3		cmi
2018	1	11	22.3		8.0		222.9		2.0		59.3		18.3		48.4		97.2		81.5		93.7		46.7		0.28		0.02		47.3		40.2		44.0		---	M	---	M	---	M	50.5		39.9		46.4		52.8		37.7		47.6		cmi
2018	1	12	27.2		12.1		330.7		2.0		23.6		14.8		19.5		87.0		64.5		77.2		13.5		0.00		0.02		42.5		34.2		36.7		---	M	---	M	---	M	39.9		33.3		35.6		37.7		31.8		34.0		cmi
2018	1	13	23.3		7.1		301.1		11.4		20.6		7.4		14.0		75.2		40.2		59.8		2.3		0.00		0.04		35.5		32.1		33.2		---	M	---	M	---	M	33.3		30.8		32.0		31.8		26.4		29.9		cmi
