year	month	day	max_wind_gust	xwser	avg_wind_speed	awser	avg_wind_dir	awder	sol_rad	soler	max_air_temp	xater	min_air_temp	nater	avg_air_temp	aater	max_rel_hum	xrher	min_rel_hum	nrher	avg_rel_hum	arher	avg_dewpt_temp	adper	precip	pcer	pot_evapot	pevaper	max_soiltemp_4in_sod	xst4soder	min_soiltemp_4in_sod	nst4soder	avg_soiltemp_4in_sod	ast4soder	max_soiltemp_8in_sod	xst8soder	min_soiltemp_8in_sod	nst8soder	avg_soiltemp_8in_sod	ast8soder	max_soiltemp_4in_bare	xst4bareer	min_soiltemp_4in_bare	nst4bareer	avg_soiltemp_4in_bare	ast4bareer	max_soiltemp_2in_bare	xst2bareer	min_soiltemp_2in_bare	nst2bareer	avg_soiltemp_2in_bare	ast2bareer	site
			mph		mph		deg		MJ/m*m		degF		degF		degF		%		%		%		degF		in		in		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		
2018	1	1	15.3		6.9		275.2		10.4		-4.6		-17.1		-10.8		75.3		60.1		68.6		-18.2		0.00		0.01		34.3		34.1		34.2		34.4		33.5		33.8		34.0		33.6		33.8		31.4		30.7		31.0		dek
2018	1	2	23.7		12.0		239.5		11.6		9.4		-16.9		-6.1		76.1		59.2		70.6		-13.2		0.00		0.02		34.1		33.7		33.9		34.2		33.1		33.6		33.6		33.3		33.4		30.9		30.2		30.6		dek
2018	1	3	21.2		6.1		284.0		8.3		15.6		-3.1		9.1		87.7		59.5		73.0		2.2		0.00		0.02		33.7		33.5		33.6		33.8		32.8		33.2		33.8		33.4		33.6		31.9		30.8		31.5		dek
2018	1	4	10.6		2.8		311.4		11.4		8.2		-9.6		-2.1		78.4		57.9		71.2		-9.2		0.00		0.02		33.6		33.4		33.5		33.7		32.6		33.0		33.7		33.4		33.5		31.4		30.7		31.0		dek
2018	1	5	9.3		2.8		309.7		11.9		8.9		-10.9		-2.9		82.0		54.9		72.3		-9.8		0.00		0.02		33.4		33.1		33.3		33.3		32.3		32.7		33.4		33.2		33.3		31.0		30.3		30.6		dek
2018	1	6	14.2		4.5		239.1		11.9		12.8		-11.4		-1.4		80.2		46.9		69.6		-9.0		0.00		0.03		33.2		32.8		33.0		33.1		32.0		32.5		33.2		33.0		33.1		30.8		30.0		30.3		dek
2018	1	7	27.7		15.1		187.2		3.3		32.1		4.0		21.1		97.2		61.7		79.3		15.6		0.03		0.02		33.0		32.6		32.8		32.9		31.8		32.2		33.7		33.0		33.3		32.2		30.4		31.3		dek
2018	1	8	23.4		10.1		258.7		8.0		35.6		27.8		31.8		98.3		79.5		90.9		29.5		0.03		0.03		33.4		33.0		33.2		33.0		31.7		32.3		34.0		33.7		33.9		32.8		32.2		32.5		dek
2018	1	9	22.1		8.7		174.3		4.2		30.6		21.5		27.8		98.6		95.1		97.4		27.2		0.00		0.01		33.5		33.3		33.4		33.2		31.8		32.4		34.1		34.0		34.0		33.2		32.6		32.8		dek
2018	1	10	35.4		16.4		177.6		2.4		53.2		30.2		40.2		98.6		90.5		96.8		39.3		0.10		0.01		33.6		33.4		33.5		33.6		32.1		32.7		34.2		34.1		34.2		34.3		32.9		33.1		dek
2018	1	11	30.6		12.7		239.9		1.7		57.3		15.4		42.7		97.2		80.0		92.7		40.8		0.25		0.01		33.6		33.5		33.6		33.6		32.0		32.9		43.8		34.2		39.0		45.7		34.3		40.0		dek
2018	1	12	33.8		17.5		172.8		7.7		20.6		8.9		15.9		89.4		53.0		72.0		8.3		0.00		0.03		33.8		33.6		33.7		33.6		32.4		32.8		39.0		35.0		36.6		35.9		29.6		33.6		dek
2018	1	13	24.7		5.3		320.1		10.8		14.2		-0.5		6.4		81.2		44.1		64.5		-3.3		0.00		0.03		33.9		33.7		33.8		33.6		32.6		33.0		35.0		31.0		33.2		30.5		23.7		27.1		dek
2018	1	14	25.1		10.5		156.2		6.9		19.0		-3.8		9.9		90.3		55.4		78.0		4.3		0.05		0.02		33.8		33.2		33.4		33.6		32.3		32.9		31.4		28.4		30.2		29.1		21.2		25.3		dek
2018	1	15	22.3		12.7		227.6		6.4		18.6		0.7		12.1		94.0		80.9		88.5		9.4		0.08		0.01		33.3		33.2		33.2		33.2		32.2		32.6		32.8		31.3		32.2		31.2		29.1		30.6		dek
2018	1	16	19.1		6.7		282.0		9.6		20.3		-1.0		9.1		88.7		68.5		82.3		4.8		0.00		0.03		33.4		33.3		33.3		33.2		32.2		32.6		33.2		32.8		33.0		31.6		31.2		31.4		dek
2018	1	17	30.7		13.5		248.7		12.4		18.3		-3.1		8.2		87.0		68.0		79.0		3.0		0.00		0.03		33.4		33.0		33.2		33.0		32.1		32.5		33.2		33.0		33.1		31.5		31.1		31.3		dek
2018	1	18	27.3		15.9		229.9		11.4		31.2		13.4		22.8		79.0		64.8		72.5		15.2		0.00		0.04		33.1		32.8		33.0		33.0		32.0		32.3		33.3		33.0		33.2		31.7		30.8		31.3		dek
