year	month	day	max_wind_gust	xwser	avg_wind_speed	awser	avg_wind_dir	awder	sol_rad	soler	max_air_temp	xater	min_air_temp	nater	avg_air_temp	aater	max_rel_hum	xrher	min_rel_hum	nrher	avg_rel_hum	arher	avg_dewpt_temp	adper	precip	pcer	pot_evapot	pevaper	max_soiltemp_4in_sod	xst4soder	min_soiltemp_4in_sod	nst4soder	avg_soiltemp_4in_sod	ast4soder	max_soiltemp_8in_sod	xst8soder	min_soiltemp_8in_sod	nst8soder	avg_soiltemp_8in_sod	ast8soder	max_soiltemp_4in_bare	xst4bareer	min_soiltemp_4in_bare	nst4bareer	avg_soiltemp_4in_bare	ast4bareer	max_soiltemp_2in_bare	xst2bareer	min_soiltemp_2in_bare	nst2bareer	avg_soiltemp_2in_bare	ast2bareer	site
			mph		mph		deg		MJ/m*m		degF		degF		degF		%		%		%		degF		in		in		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		
2018	1	1	15.1		6.0		328.2		10.4		16.3		2.6		8.2		83.4		33.9		61.8		-2.9		0.00		0.03		33.9		32.6		33.2		36.3		35.4		35.8		32.7 	M	28.2 	M	30.5 	M	30.9		23.8		26.4		dxs
2018	1	2	7.8		1.4		213.7		10.8		24.9		-1.8		9.6		87.4		34.4		66.4		-0.3		0.00		0.03		33.2		32.1		32.5		36.0		34.8		35.3		32.7		26.6		28.9		31.1		22.1		26.0		dxs
2018	1	3	18.7		6.1		260.1		8.8		31.7		5.8		20.6		88.0		40.9		64.3		9.9		0.00		0.04		32.8		31.8		32.2		35.5		34.3		34.8		37.6		27.1		31.3		31.8		23.7		28.0		dxs
2018	1	4	17.6		5.8		321.6		10.1		22.4		6.5		15.1		80.4		38.4		59.8		3.2		0.00		0.03		32.5		31.5		32.0		35.1		34.1		34.4		32.4		26.2		29.1		30.5		22.5		26.6		dxs
2018	1	5	10.3		3.0		225.2		4.4		25.6		13.0		19.6		85.0		45.8		66.3		10.0		0.00		0.02		32.3		31.5		31.8		34.8		33.8		34.2		38.1		28.6		32.3		31.2		26.1		28.5		dxs
2018	1	6	10.2		3.1		58.2		10.6		28.0		4.6		16.2		82.1		23.5		51.6		-0.1		0.00		0.04		32.4		31.2		31.6		34.5		33.5		33.9		33.9		25.9		29.4		31.1		22.6		26.8		dxs
2018	1	7	15.1		4.4		153.2		4.2		45.1		19.0		33.4		96.2		32.7		53.7		17.2		0.36		0.04		32.2		31.1		31.6		34.3		33.4		33.7		37.7	M	27.9	M	30.4	M	32.7		26.0		29.7		dxs
2018	1	8	11.0		2.4		173.0		2.1		42.3		37.3		39.7		97.8		91.6		96.0		38.6		0.32		0.01		32.6		31.5		31.9		34.6		33.3		33.8		---	M	---	M	---	M	33.0		32.7		32.9		dxs
2018	1	9	9.0		2.6		77.2		3.6		46.0		35.4		40.8		98.7		87.4		95.6		39.6		0.03		0.02		32.6		31.6		32.0		34.6		33.5		33.9		---	M	---	M	---	M	34.6		33.0		33.6		dxs
2018	1	10	17.0	M	5.8	M	174.2	M	0.7	M	58.8	M	45.2	M	53.7	M	97.3	M	89.3	M	94.6	M	52.1	M	0.16	M	0.01	M	33.7	M	31.8	M	32.2	M	34.7	M	33.6	M	34.0	M	37.7	M	33.0	M	35.4	M	42.3	M	34.3	M	38.3	M	dxs
2018	1	11	33.3		7.1		204.7		1.9		62.2		28.8		56.5		96.1		85.6		92.6		54.4		0.79		0.02		47.0		33.7		42.1		42.6		33.9		37.9		44.5		37.3		41.2		48.1		41.2		45.1		dxs
