year	month	day	max_wind_gust	xwser	avg_wind_speed	awser	avg_wind_dir	awder	sol_rad	soler	max_air_temp	xater	min_air_temp	nater	avg_air_temp	aater	max_rel_hum	xrher	min_rel_hum	nrher	avg_rel_hum	arher	avg_dewpt_temp	adper	precip	pcer	pot_evapot	pevaper	max_soiltemp_4in_sod	xst4soder	min_soiltemp_4in_sod	nst4soder	avg_soiltemp_4in_sod	ast4soder	max_soiltemp_8in_sod	xst8soder	min_soiltemp_8in_sod	nst8soder	avg_soiltemp_8in_sod	ast8soder	max_soiltemp_4in_bare	xst4bareer	min_soiltemp_4in_bare	nst4bareer	avg_soiltemp_4in_bare	ast4bareer	max_soiltemp_2in_bare	xst2bareer	min_soiltemp_2in_bare	nst2bareer	avg_soiltemp_2in_bare	ast2bareer	site
			mph		mph		deg		MJ/m*m		degF		degF		degF		%		%		%		degF		in		in		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		
2018	1	1	16.6		6.3		331.3		11.9		12.8		-2.5		4.5		78.4		37.4		63.1		-5.7		0.00		0.03		35.2		29.7		31.8		38.2		31.4		33.9		27.5		18.5		22.0		30.1		20.6		24.5		fai
2018	1	2	10.0		2.9		242.4		12.5		19.9		-4.4		7.4		82.7		40.6		64.5		-2.5		0.00		0.03		34.8		28.8		31.0		38.7		30.7		33.2		28.2		17.4		21.8		30.8		19.5		24.4		fai
2018	1	3	19.5		8.1		266.5		6.9		28.7		9.1		18.6		74.5		44.3		62.7		7.8		0.00		0.04		34.4		28.8		31.0		36.7		30.8		32.9		28.5		20.2		24.3		31.0		22.9		26.8		fai
2018	1	4	17.4		6.4		320.4		11.8		19.9		2.7		11.6		80.5		40.8		62.3		0.7		0.00		0.03		34.8		27.9		30.6		35.8		30.1		32.6		27.7		18.1		22.8		30.4		20.2		25.3		fai
2018	1	5	12.6		4.7		220.6		6.5		21.4		3.0		13.5		87.2		53.9		71.6		5.9		0.01		0.02		35.2		28.1		30.8		36.8		30.3		32.5		28.7		20.2		24.8		31.0		22.6		27.3		fai
2018	1	6	9.6		3.5		105.5		12.5		22.5		-2.1		11.0		84.6		35.1		58.8		-1.5		0.00		0.04		34.4		27.7		30.2		36.7		30.4		32.3		28.1		16.6		21.8		30.7		18.7		24.4		fai
2018	1	7	21.1		9.2		161.5		5.3		42.5		15.4		31.4		96.1		33.7		54.3		15.8		0.25		0.05		35.8		28.0		30.7		35.1		29.3		32.1		30.0		21.5		26.6		32.4		24.2		29.0		fai
2018	1	8	11.7		4.2		243.8		2.0		41.5		34.0		37.9		99.0		93.2		97.3		37.2		0.13		0.01		36.7		29.2		31.8		37.2		30.0		32.3		30.6		30.0		30.3		33.0		32.4		32.7		fai
2018	1	9	10.4		3.5		110.9		3.1		40.1		32.8		36.5		99.0		92.3		97.3		35.8		0.00		0.02		36.8		29.1		31.8		37.4		29.7		32.4		30.8		30.6		30.7		33.2		33.0		33.1		fai
2018	1	10	20.7		9.2		162.8		1.6		58.3		39.5		51.8		99.7		93.7		98.1		51.3		0.09		0.01		36.9		29.1		31.9		37.5		29.4		32.5		38.8		30.8		34.8		41.3		33.2		37.3		fai
2018	1	11	27.1		11.0		202.8		2.5		63.0		24.9		55.1		98.8		87.7		95.1		53.7		0.29		0.02		43.4		29.0		34.9		40.2		29.9		33.9		45.1		33.3		41.2		48.3		36.3		44.1		fai
2018	1	12	31.1		14.7		335.8		2.2		25.2		15.8		21.3		93.2		69.5		82.7		16.8		0.28		0.02		38.9		31.9		34.7		40.0		33.0		35.6		33.3		31.0		31.3		36.3		33.7		34.0		fai
2018	1	13	23.8		7.6		157.8		12.5		24.2		14.6		19.1		85.1		62.3		72.3		11.7		0.00		0.04		37.2		31.1		33.6		38.8		32.7		34.6		31.2		31.1		31.2		33.7		33.7		33.7		fai
2018	1	14	15.0		6.0		124.9		10.2		24.3		7.6		18.3		90.0		54.3		73.1		10.9		0.00		0.04		37.6		31.0		33.3		39.0		31.8		34.4		31.2		31.2		31.2		33.7		33.7		33.7		fai
2018	1	15	24.5		9.4		250.2		4.9		28.9		9.2		21.4		98.5		57.5		76.8		15.0		0.15		0.03		37.6		30.6		33.2		38.8		31.9		34.2		31.3		31.2		31.2		33.8		33.7		33.7		fai
2018	1	16	15.8		6.5		291.9		11.5		10.7		-3.1		6.1		84.2		63.7		74.1		-0.4		0.00		0.02		37.1		30.9		33.1		38.2		31.8		34.1		31.3		31.1		31.2		33.8		33.7		33.7		fai
2018	1	17	11.0		4.4		246.8		13.9		21.4		1.7		12.3		87.6		62.0		76.4		6.2		0.00		0.04		37.3		30.9		33.0		38.1		31.8		34.1		31.2		31.1		31.1		33.7		33.6		33.7		fai
