year	month	day	max_wind_gust	xwser	avg_wind_speed	awser	avg_wind_dir	awder	sol_rad	soler	max_air_temp	xater	min_air_temp	nater	avg_air_temp	aater	max_rel_hum	xrher	min_rel_hum	nrher	avg_rel_hum	arher	avg_dewpt_temp	adper	precip	pcer	pot_evapot	pevaper	max_soiltemp_4in_sod	xst4soder	min_soiltemp_4in_sod	nst4soder	avg_soiltemp_4in_sod	ast4soder	max_soiltemp_8in_sod	xst8soder	min_soiltemp_8in_sod	nst8soder	avg_soiltemp_8in_sod	ast8soder	max_soiltemp_4in_bare	xst4bareer	min_soiltemp_4in_bare	nst4bareer	avg_soiltemp_4in_bare	ast4bareer	max_soiltemp_2in_bare	xst2bareer	min_soiltemp_2in_bare	nst2bareer	avg_soiltemp_2in_bare	ast2bareer	site
			mph		mph		deg		MJ/m*m		degF		degF		degF		%		%		%		degF		in		in		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		
2018	1	1	14.9		5.1		292.8		7.8		0.0		-15.6		-8.9		80.3		64.9		71.9		-15.5		0.00		0.01		34.1		33.9		34.0		32.6		32.4		32.5		30.0		29.5		29.7		29.3		28.7		29.0		fre
2018	1	2	23.0		7.9		223.7		8.6		10.6		-15.6		-4.1		82.3		56.3		72.7		-10.8		0.00		0.02		33.9		33.8		33.9		32.4		32.3		32.3		29.8		29.2		29.5		29.2		28.3		28.8		fre
2018	1	3	19.8		7.2		300.6		6.6		13.7		0.1		8.8		88.3		62.6		74.5		2.3		0.00		0.02		34.0		33.8		33.8		32.3		32.2		32.2		30.5		29.7		30.2		30.2		29.1		29.7		fre
2018	1	4	13.0		4.8		323.5		8.1		8.3		-6.8		-0.4		82.5		62.6		74.7		-6.6		0.00		0.02		33.8		33.6		33.7		32.3		32.1		32.2		29.9		29.2		29.6		29.4		28.4		28.9		fre
2018	1	5	14.0		4.2		326.7		8.8		8.1		-8.0		-1.2		86.4		60.8		76.7		-6.8		0.00		0.02		33.6		33.4		33.5		32.1		32.0		32.1		29.6		28.9		29.2		29.0		28.0		28.4		fre
2018	1	6	17.1		4.3		247.3		8.5		10.8		-11.8		-0.4		84.3		54.8		72.0		-7.4		0.00		0.02		33.4		33.2		33.3		32.0		31.8		31.9		29.4		28.5		29.0		28.8		27.6		28.2		fre
2018	1	7	21.6		10.0		184.4		3.8		31.1		6.7		21.8		99.7		64.2		81.4		16.9		0.01		0.02		33.4		33.0		33.1		31.9		31.8		31.8		30.7		29.2		29.9		30.6		28.6		29.5		fre
2018	1	8	16.5		5.7		249.1		7.7		37.3		26.4		31.5		100.0		74.3		87.8		28.3		0.00		0.03		33.7		33.4		33.6		31.9		31.8		31.8		31.2		30.7		31.0		31.1		30.6		30.8		fre
2018	1	9	19.4		5.2		152.4		5.2		35.6		23.9		29.3		99.9		81.3		93.7		27.7		0.00		0.02		33.8		33.7		33.7		32.0		31.9		31.9		31.3		30.9		31.1		31.2		30.6		30.9		fre
2018	1	10	21.7		10.0		170.6		2.2		48.2		30.0		38.8		101.5		96.9		100.5		38.9		0.03		0.01		33.9		33.8		33.8		32.0		31.9		32.0		31.6		31.2		31.4		31.8		31.1		31.4		fre
2018	1	11	18.4		8.2		251.1		1.5		49.6		13.9		35.1		99.8		81.5		94.0		33.6		0.20		0.01		34.0		33.9		33.9		32.1		32.0		32.0		32.7		31.5		31.9		36.1		31.8		33.2		fre
2018	1	12	26.2		12.4		347.1		7.4		18.9		6.9		13.8		85.8		62.4		74.7		7.2		0.00		0.02		34.1		33.9		34.0		32.2		32.1		32.1		31.9		25.4		30.5		31.9		21.2		28.2		fre
2018	1	13	16.1		5.9		329.6		7.8		12.3		-0.7		5.0		79.9		52.8		67.5		-3.5		0.00		0.02		34.0		32.5		33.5		32.2		31.8		32.0		25.6		20.1		22.8		25.5		15.7		19.6		fre
