year	month	day	max_wind_gust	xwser	avg_wind_speed	awser	avg_wind_dir	awder	sol_rad	soler	max_air_temp	xater	min_air_temp	nater	avg_air_temp	aater	max_rel_hum	xrher	min_rel_hum	nrher	avg_rel_hum	arher	avg_dewpt_temp	adper	precip	pcer	pot_evapot	pevaper	max_soiltemp_4in_sod	xst4soder	min_soiltemp_4in_sod	nst4soder	avg_soiltemp_4in_sod	ast4soder	max_soiltemp_8in_sod	xst8soder	min_soiltemp_8in_sod	nst8soder	avg_soiltemp_8in_sod	ast8soder	max_soiltemp_4in_bare	xst4bareer	min_soiltemp_4in_bare	nst4bareer	avg_soiltemp_4in_bare	ast4bareer	max_soiltemp_2in_bare	xst2bareer	min_soiltemp_2in_bare	nst2bareer	avg_soiltemp_2in_bare	ast2bareer	site
			mph		mph		deg		MJ/m*m		degF		degF		degF		%		%		%		degF		in		in		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		
2018	1	1	18.3		8.5		323.8		11.7		10.1		-4.5		2.7		84.3		43.3		63.6		-7.2		0.00		0.02		30.8		28.8		29.9		33.6		32.8		33.1		23.7		13.0		17.7		25.6		14.6		19.4		frm
2018	1	2	11.5		3.7		223.9		12.1		20.0		-5.2		7.3		88.5		40.3		68.0		-1.6		0.00		0.03		30.4		27.7		28.9		32.8		32.1		32.4		25.0		11.7		17.7		27.1		13.3		19.4		frm
2018	1	3	25.3		10.9		277.1		5.8		29.1		8.7		19.4		73.8		49.3		61.5		8.3		0.00		0.03		30.3		28.5		29.3		32.1		31.8		31.9		25.9		17.6		21.3		27.9		18.9		23.0		frm
2018	1	4	21.5		7.5		261.4		11.0		19.6		3.3		12.0		83.0		44.9		63.9		1.7		0.00		0.03		29.5		27.1		28.4		31.8		31.3		31.5		25.1		14.0		19.7		26.9		15.4		21.3		frm
2018	1	5	12.0		4.0		63.8		5.0		21.6		7.4		15.4		80.9		58.5		72.4		8.1		0.00		0.02		30.0		28.0		29.0		31.5		31.2		31.3		26.1		18.5		22.3		28.0		19.7		23.8		frm
2018	1	6	12.7		4.3		115.5		12.1		23.0		-0.1		12.5		90.3		32.4		61.2		0.6		0.00		0.04		29.2		26.1		27.7		31.2		30.3		30.7		25.7		13.6		19.5		27.7		15.0		21.1		frm
2018	1	7	23.0		10.4		163.6		3.5		39.6		17.9		30.7		101.9		38.0		62.4		18.2		0.28		0.04		30.9		27.8		29.1		31.3		30.4		30.7		28.7		20.3		24.6		30.6		21.7		26.4		frm
2018	1	8	15.6		4.4		258.0		2.2		39.1		33.1		36.7		103.0		92.0		98.2		36.2		0.00		0.01		31.6		30.9		31.4		31.7		31.2		31.5		29.6		28.7		29.3		31.6		30.6		31.2		frm
2018	1	9	12.9		4.8		139.9		2.6		39.1		31.9		35.5		103.0		96.4		100.6		35.6		0.01		0.01		31.7		31.6		31.6		31.9		31.7		31.8		29.9		29.6		29.8		32.1		31.6		31.7		frm
2018	1	10	28.2		11.9		165.2		3.3		56.8		38.4		49.3		103.0		90.6		97.6		48.6		0.04		0.02		31.8		31.7		31.7		32.2		31.9		32.1		39.6		29.9		33.6		43.1		31.8		36.2		frm
2018	1	11	32.7		15.6		222.9		3.8		63.5		20.0		49.7		98.6		80.2		92.1		47.5		0.15		0.03		34.2		31.8		32.6		33.2		32.2		32.5		50.7		35.2		43.6		51.5		35.5		44.5		frm
2018	1	12	34.5		18.9		328.0		3.2		20.4		14.3		17.3		86.9		71.2		79.2		12.0		0.00		0.02		32.1		31.9		32.0		33.3		33.0		33.1		35.2		28.7		31.0		35.5		28.9		32.1		frm
2018	1	13	24.1		8.7		283.7		10.1		24.5		13.3		18.6		80.1		34.6		64.1		8.1		0.00		0.04		32.1		32.0		32.1		33.3		33.3		33.3		29.6		26.7		28.2		31.5		27.1		29.2		frm
2018	1	14	20.2		8.2		150.8		5.7		27.4		8.5		19.9		96.7		51.5		78.2		14.0		0.00		0.03		32.1		31.9		31.9		33.3		33.2		33.2		29.0		24.9		27.0		30.9		25.4		28.3		frm
2018	1	15	26.9		13.9		268.6		6.1		29.8		7.1		20.1		100.4		59.0		76.7		13.8		0.04		0.03		31.9		31.6		31.8		33.2		33.1		33.1		29.1		26.5		28.0		31.0		27.6		29.6		frm
2018	1	16	20.1		10.8		296.0		9.4		12.7		0.0		6.7		81.8		63.7		73.7		0.1		0.00		0.02		31.7		30.7		31.1		33.1		32.7		32.9		27.0		23.2		25.1		28.7		24.2		26.4		frm
2018	1	17	15.5		4.6		254.3		12.9		27.1		1.3		14.6		92.5		46.0		75.0		7.8		0.00		0.04		31.4		29.8		30.6		32.7		32.4		32.5		28.1		21.6		24.8		30.3		23.0		26.5		frm
2018	1	18	20.5		9.3		190.3		12.6		45.4		14.3		28.8		86.3		32.4		64.1		17.1		0.00		0.07		31.5		29.5		30.6		32.4		32.2		32.3		29.2		21.9		25.8		31.7		23.8		27.9		frm
2018	1	19	22.2		12.0		184.9		12.2		53.5		26.2		37.2		81.0		31.7		62.4		24.4		0.00		0.08		31.6		30.6		31.2		32.4		32.2		32.3		29.6		24.4		27.6		32.3		25.8		29.5		frm
2018	1	20	20.2		9.1		168.5		10.9		59.1		31.9		43.3		96.9		47.8		75.7		35.6		0.00		0.07		31.8		31.6		31.7		32.5		32.3		32.4		30.1		29.4		29.8		33.2		31.2		31.9		frm
2018	1	21	23.6		9.8		160.6		6.2		60.0		38.9		52.5		102.5		81.3		94.2		50.8		0.03		0.04		31.8		31.7		31.8		32.6		32.4		32.5		38.4		30.1		34.2		42.6		31.9		37.3		frm
