year	month	day	max_wind_gust	xwser	avg_wind_speed	awser	avg_wind_dir	awder	sol_rad	soler	max_air_temp	xater	min_air_temp	nater	avg_air_temp	aater	max_rel_hum	xrher	min_rel_hum	nrher	avg_rel_hum	arher	avg_dewpt_temp	adper	precip	pcer	pot_evapot	pevaper	max_soiltemp_4in_sod	xst4soder	min_soiltemp_4in_sod	nst4soder	avg_soiltemp_4in_sod	ast4soder	max_soiltemp_8in_sod	xst8soder	min_soiltemp_8in_sod	nst8soder	avg_soiltemp_8in_sod	ast8soder	max_soiltemp_4in_bare	xst4bareer	min_soiltemp_4in_bare	nst4bareer	avg_soiltemp_4in_bare	ast4bareer	max_soiltemp_2in_bare	xst2bareer	min_soiltemp_2in_bare	nst2bareer	avg_soiltemp_2in_bare	ast2bareer	site
			mph		mph		deg		MJ/m*m		degF		degF		degF		%		%		%		degF		in		in		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		
2018	1	1	15.5		7.6		286.3		10.8		-0.8		-16.6		-8.5		81.1		62.4		72.2		-15.1		0.00		0.01		34.8		34.3		34.5		34.0		33.6		33.8		32.2		32.0		32.1		32.8		32.5		32.6		icc
2018	1	2	19.5		7.7		237.2		11.9		12.6		-13.4		-1.3		86.0		61.1		74.1		-7.6		0.00		0.02		34.7		34.0		34.1		33.6		33.2		33.4		32.0		31.9		31.9		32.5		32.4		32.4		icc
2018	1	3	23.6		9.9		286.1		8.1		17.7		0.8		11.6		92.2		62.3		76.8		5.6		0.00		0.02		34.0		33.8		34.0		33.2		33.0		33.1		32.1		31.9		31.9		32.6		32.4		32.5		icc
2018	1	4	12.0		4.6		319.8		10.0		7.7		-6.5		2.2		90.6		64.2		78.0		-3.2		0.00		0.02		33.9		33.5		33.6		33.0		32.8		32.9		32.0		31.8		31.8		32.6		32.3		32.4		icc
2018	1	5	13.3		3.7		318.1		11.2		9.6		-5.6		4.5		92.4		59.2		74.4		-2.0		0.00		0.02		33.5		33.2		33.4		32.8		32.7		32.7		32.1		31.7		31.8		32.4		32.2		32.3		icc
2018	1	6	17.2		4.6		163.4		12.2		11.7		-9.2		2.0		93.3		49.1		72.4		-5.3		0.00		0.03		33.2		32.6		32.8		32.7		32.4		32.5		31.9		31.4		31.5		32.2		31.9		32.0		icc
2018	1	7	23.2		11.7		183.4		3.6		33.2		10.3		25.3		103.0		60.6		77.8		19.2		0.11		0.02		33.4		32.7		32.9		32.4		32.3		32.3		31.6		31.3		31.4		32.1		31.9		32.0		icc
2018	1	8	17.2		7.7		256.7		7.8		35.3		27.3		31.6		103.0		85.0		98.1		31.1		0.03		0.02		33.8		33.3		33.6		32.6		32.4		32.5		31.9		31.5		31.7		32.5		32.1		32.3		icc
2018	1	9	19.7		6.6		158.7		4.7		33.0		26.6		29.5		103.0		98.3		102.3		30.1		0.00		0.01		33.9		33.8		33.9		32.7		32.5		32.6		32.4		31.9		32.1		33.0		32.4		32.7		icc
2018	1	10	34.4		13.2		174.5		3.4		55.0		32.8		44.2		103.0		91.7		100.2		44.2		0.07		0.01		33.9		33.9		33.9		32.9		32.7		32.8		42.5		32.1		34.6		44.7		32.7		35.7		icc
2018	1	11	29.1		13.6		236.9		2.0		59.0		11.1		41.4		102.7		81.6		96.0		40.4		0.36		0.01		36.0		33.9		34.7		37.1		32.8		34.9		49.3		34.9		43.5		51.5		34.5		44.7		icc
2018	1	12	24.9		10.8		340.0		5.1		21.0		11.0		15.9		88.4		74.4		82.4		11.5		0.00		0.02		35.2		34.9		35.0		36.4		34.3		35.0		35.1		29.8		32.0		34.5		28.1		31.4		icc
2018	1	13	16.1		6.0		304.0		11.6		16.5		3.0		9.9		91.1		50.1		72.6		2.6		0.00		0.03		35.0		34.4		34.7		34.3		33.6		33.9		30.3		25.3		28.1		30.5		24.0		27.0		icc
2018	1	14	22.7		8.3		150.0		5.6		22.8		1.2		13.4		98.7		58.3		84.5		9.3		0.06		0.02		34.5		34.1		34.2		33.6		33.2		33.4		28.9		23.5		26.5		29.0		22.4		26.2		icc
2018	1	15	25.9		12.5		253.0		8.0		23.5		-1.4		11.1		101.0		75.4		87.4		8.1		0.07		0.02		34.6		34.0		34.1		33.2		33.0		33.1		30.5		27.9		29.1		30.3		28.7		29.7		icc
2018	1	16	16.8		9.2		282.3		7.7		12.8		-3.1		4.2		93.2		80.7		85.5		0.8		0.00		0.02		34.4		33.9		34.0		33.0		32.7		32.8		29.5		26.9		28.0		30.0		27.8		28.8		icc
2018	1	17	24.0		8.6		248.5		12.5		21.0		-0.8		10.3		93.3		68.7		82.8		6.0		0.00		0.03		36.4		33.7		33.9		32.7		32.5		32.6		29.2		26.9		28.1		30.1		27.7		28.9		icc
2018	1	18	23.4		11.2		222.1		11.8		38.1		15.8		27.1		83.7		51.2		67.3		17.4		0.00		0.05		33.9		33.6		33.7		32.5		32.3		32.4		30.1		27.9		29.0		31.0		28.8		29.9		icc
2018	1	19	23.5		10.9		194.7		10.0		46.6		28.3		36.8		73.8		49.4		62.6		25.0		0.00		0.07		33.9		33.7		33.8		32.4		32.4		32.4		30.7		29.0		29.9		31.6		29.9		30.8		icc
2018	1	20	21.9		6.1		189.0		5.7		46.1		32.5		40.2		93.3		67.1		83.4		35.6		0.00		0.03		34.0		33.9		33.9		32.5		32.4		32.5		31.0		30.6		30.8		32.0		31.5		31.7		icc
2018	1	21	18.9		6.5		143.1		2.3		54.8		38.6		46.2		103.0		93.3		100.5		46.3		0.02		0.01		34.0		33.9		33.9		32.6		32.5		32.6		35.8		31.0		32.6		38.7		31.9		34.8		icc
2018	1	22	27.2		10.0		194.3		4.3		58.1		34.8		47.9		103.0		66.7		92.6		45.7		1.06		0.03		35.0		33.9		34.3		32.7		32.5		32.6		43.6		35.7		38.6		47.2		37.1		41.0		icc
2018	1	23	24.8		10.1		294.0		2.0		35.6		27.3		31.7		102.0		80.4		90.5		29.2		0.01		0.01		35.7		35.0		35.4		33.7		32.7		33.1		36.2		32.6		34.2		37.1		22.4		34.8		icc
2018	1	24	13.6		5.6		262.2		7.6		33.4		24.5		27.6		97.7		67.5		82.9		23.0		0.00		0.03		35.8		35.2		35.4		34.0		33.7		33.8		33.1		32.2		32.4		33.2		32.7		32.9		icc
2018	1	25	21.9		9.2		172.1		12.2		51.5		27.0		38.9		95.8		48.5		76.1		31.3		0.00		0.06		36.7		35.2		35.7		34.6		33.9		34.1		38.0		32.0		33.6		39.6		32.5		34.2		icc
2018	1	26	30.9		14.0		182.4		8.1		53.0		37.2		46.1		83.7		46.9		64.1		34.1		0.00		0.08		39.3		35.9		37.4		36.7		34.5		35.2		40.5		32.4		36.0		42.5		33.0		37.2		icc
2018	1	27	27.3		8.1		249.0		12.7		52.0		31.3		44.6		82.3		31.4		60.8		31.1		0.00		0.09		42.1		39.2		40.3		38.9		36.7		37.8		46.1		35.4		40.1		48.1		35.3		41.0		icc
2018	1	28	17.7		5.3		305.9		12.5		47.1		24.7		35.5		98.0		55.2		77.9		28.9		0.00		0.06		40.5		37.5		39.0		38.4		36.7		37.5		42.7		33.4		36.2		44.7		33.6		36.7		icc
2018	1	29	17.6		7.0		334.6		3.2		28.6		19.6		26.0		93.6		61.1		77.5		19.9		0.00		0.02		39.0		36.7		37.8		37.7		36.0		36.7		34.3		32.2		33.1		34.4		32.4		33.4		icc
2018	1	30	32.8		9.0		186.5		12.7		33.0		10.8		24.5		97.4		47.3		72.1		16.2		0.00		0.06		36.7		35.7		36.0		36.0		34.9		35.3		32.5		31.2		31.5		32.4		30.3		31.6		icc
2018	1	31	26.1		10.9		239.0		5.5		44.8		31.0		38.1		75.3		54.6		64.2		27.0		0.00		0.06		36.6		35.6		36.0		35.0		34.7		34.8		31.5		31.3		31.4		31.9		31.6		31.8		icc


																																																					
M = Missing Data																																																					
E = Estimated Data																																																					
																																																					

If ICN data are used, the program and network should be referenced.  Our suggested citation is
