year	month	day	max_wind_gust	xwser	avg_wind_speed	awser	avg_wind_dir	awder	sol_rad	soler	max_air_temp	xater	min_air_temp	nater	avg_air_temp	aater	max_rel_hum	xrher	min_rel_hum	nrher	avg_rel_hum	arher	avg_dewpt_temp	adper	precip	pcer	pot_evapot	pevaper	max_soiltemp_4in_sod	xst4soder	min_soiltemp_4in_sod	nst4soder	avg_soiltemp_4in_sod	ast4soder	max_soiltemp_8in_sod	xst8soder	min_soiltemp_8in_sod	nst8soder	avg_soiltemp_8in_sod	ast8soder	max_soiltemp_4in_bare	xst4bareer	min_soiltemp_4in_bare	nst4bareer	avg_soiltemp_4in_bare	ast4bareer	max_soiltemp_2in_bare	xst2bareer	min_soiltemp_2in_bare	nst2bareer	avg_soiltemp_2in_bare	ast2bareer	site
			mph		mph		deg		MJ/m*m		degF		degF		degF		%		%		%		degF		in		in		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		
2018	1	1	15.4		6.2		302.1		11.1		2.6		-13.2		-5.2		68.7		54.0		63.0		-14.6		0.00		0.02		28.1		25.8		26.8		31.0		29.6		30.3		29.9		28.6		29.4		29.2		26.7		27.8		llc
2018	1	2	14.6		4.9		235.4		11.6		14.8		-10.2		2.7		78.8		49.5		63.8		-7.0		0.00		0.03		28.3		24.6		26.3		29.6		28.7		29.1		29.4		27.6		28.5		28.8		25.6		27.1		llc
2018	1	3	22.3		8.5		285.4		6.4		21.8		2.4		14.4		77.4		50.6		61.9		3.6		0.00		0.03		29.0		26.3		27.7		29.4		28.8		29.1		30.0		28.3		29.2		29.8		26.8		28.4		llc
2018	1	4	14.0		5.1		318.2		9.6		9.9		-3.0		4.9		77.7		53.8		66.4		-4.0		0.00		0.02		27.8		24.2		26.1		28.9		27.7		28.3		28.9		27.1		28.1		28.4		25.3		26.9		llc
2018	1	5	12.3		4.3		182.9		9.0		14.6		-0.1		8.9		77.9		45.4		65.1		-0.5		0.00		0.03		29.1		26.0		27.3		28.9		28.1		28.4		29.5		27.1		28.5		29.3		25.3		27.6		llc
2018	1	6	13.4		3.4		154.3		11.4		16.3		-6.0		6.7		84.2		41.0		62.9		-3.7		0.00		0.03		28.4		23.2		25.8		28.1		26.6		27.4		28.2		25.6		26.9		27.7		23.5		25.5		llc
2018	1	7	20.1		9.4		185.3		3.2		38.3		14.9		28.6		92.9		43.2		60.8		16.1		0.16		0.04		30.7		26.2		28.2		29.4		27.4		28.1		30.6		27.0		28.8		31.0		26.0		28.6		llc
2018	1	8	14.6		5.1		259.8		3.0		35.5		29.8		33.2		96.0		84.2		91.9		31.1		0.00		0.02		31.9		30.7		31.4		30.5		29.4		30.1		31.4		30.5		31.0		31.8		31.0		31.5		llc
2018	1	9	12.5		4.7		166.5		3.7		36.4		28.5		32.1		96.9		86.3		93.8		30.5		0.01		0.02		32.3		31.9		32.1		30.9		30.5		30.7		31.5		31.4		31.5		31.9		31.8		31.9		llc
2018	1	10	26.6		11.5		184.5		2.8		56.4		36.1		48.5		95.8		82.8		90.8		45.8		0.09		0.02		37.4		32.3		34.2		31.3		30.9		31.0		38.6		31.5		33.7		43.7		31.9		37.5		llc
2018	1	11	26.5		11.5		239.3		2.6		64.4		13.0		45.5		93.6		68.6		85.0		41.3		0.14		0.03		42.3		35.5		39.2		36.3		31.3		33.9		47.2		35.9		41.5		52.6		33.8		44.1		llc
2018	1	12	27.7		13.9		344.6		3.8		22.2		11.1		16.5		80.3		64.2		72.0		9.0		0.00		0.02		35.5		31.3		32.8		35.1		32.3		33.3		35.9		31.6		32.8		33.8		26.5		30.2		llc
2018	1	13	22.3		7.8		293.6		11.1		20.3		9.7		14.1		74.5		33.6		56.7		1.1		0.00		0.04		31.4		29.3		30.4		32.3		31.3		31.7		31.6		27.8		30.0		31.1		23.0		26.9		llc
2018	1	14	19.6		6.5		155.4		6.2		24.1		5.6		16.7		91.5		48.3		71.4		8.8		0.04		0.03		30.6		28.0		29.4		31.4		30.6		30.9		30.2		25.8		28.2		30.2		21.0		26.1		llc
2018	1	15	22.5		9.5		268.5		10.3		27.6		0.1		14.0		93.7		61.6		76.4		7.9		0.05		0.03		31.2		29.7		30.7		31.0		30.7		30.9		30.6		29.5		30.2		30.5		28.6		29.8		llc
2018	1	16	17.1		7.1		285.1		9.6		9.2		-3.8		2.8		81.0		66.3		72.9		-3.9		0.00		0.02		29.7		27.9		28.8		30.9		30.3		30.5		30.2		29.5		29.9		29.7		28.4		29.1		llc
2018	1	17	15.0		5.6		253.9		12.7		23.3		-1.4		11.1		83.9		54.8		71.9		3.6		0.00		0.04		29.9		27.1		28.5		30.3		29.7		30.0		30.2		28.9		29.6		30.0		27.6		28.8		llc
2018	1	18	20.6		8.1		217.8		12.0		41.0		14.8		27.3		74.2		36.1		59.5		14.5		0.00		0.06		31.4		28.3		29.8		30.6		29.7		30.1		30.8		29.5		30.1		30.9		28.7		29.8		llc
2018	1	19	20.9		10.1		199.9		10.7		50.5		26.2		36.6		70.4		33.2		55.6		21.5		0.00		0.08		32.0		30.2		31.1		30.9		30.3		30.6		31.3		30.3		30.8		31.7		29.7		30.8		llc
2018	1	20	16.1		6.3		186.0		3.8		47.7		32.5		39.6		92.8		67.7		76.7		32.9		0.00		0.03		32.4		32.0		32.2		31.2		30.9		31.0		31.5		31.3		31.4		32.0		31.2		31.7		llc
2018	1	21	16.7		5.9		180.3		4.0		60.1		36.7		50.3		94.1		78.4		90.5		47.6		0.08		0.03		37.1		32.4		34.1		31.4		31.1		31.2		37.0		31.5		33.1		42.5		31.9		37.2		llc
2018	1	22	31.4		10.1		204.8		7.6		59.3		36.9		50.7		93.7		51.0		76.9		43.4		0.29		0.06		43.8		37.0		40.4		39.1		31.4		36.0		47.0		37.0		41.2		52.5		38.3		44.1		llc
2018	1	23	23.5		8.8		286.6		1.7		37.2		29.9		33.2		94.0		71.3		83.0		28.5		0.06		0.02		39.8		35.6		37.4		38.4		35.7		36.9		39.2		34.2		36.2		38.3		21.0		35.4		llc
2018	1	24	15.0		4.5		257.6		9.6		36.6		26.7		30.3		92.5		59.7		74.9		23.1		0.00		0.04		38.2		34.8		36.0		36.3		34.8		35.5		38.6		33.6		35.0		41.6		32.9		34.8		llc
2018	1	25	21.4		7.6		182.8		12.5		59.2		28.5		41.9		87.0		30.3		64.9		29.9		0.00		0.08		40.2		34.5		36.8		37.2		34.5		35.6		42.0		33.3		36.5		46.2		32.6		36.9		llc
2018	1	26	26.6		11.4		189.6		7.7		54.1		37.9		46.8		75.8		39.6		57.3		32.0		0.00		0.09		41.0		36.6		39.0		38.7		36.2		37.3		41.8		34.5		38.2		44.7		33.5		38.8		llc
2018	1	27	19.0		6.3		249.8		12.2		54.0		31.0		46.1		86.9		21.6		59.3		31.3		0.01		0.08		45.7		40.3		42.5		41.7		38.7		40.1		47.8		38.3		42.7		52.1		35.7		43.5		llc
2018	1	28	19.1		5.0		290.8		12.7		52.3		28.8		38.9		78.2		29.6		58.7		24.8		0.00		0.08		44.0		37.0		40.2		40.4		37.5		39.1		45.1		35.1		38.9		49.9		33.5		38.5		llc
2018	1	29	17.4		8.2		332.2		3.2		30.5		19.2		27.5		83.8		54.5		72.1		19.5		0.00		0.03		40.1		35.8		37.6		39.6		36.5		37.7		37.1		33.5		34.9		35.0		31.8		33.4		llc
2018	1	30	25.1		6.5		217.0		12.8		35.9		13.4		25.9		88.3		40.3		63.2		14.4		0.00		0.06		35.8		34.4		34.8		36.5		34.7		35.3		33.5		32.1		32.4		32.0		28.1		30.9		llc
2018	1	31	24.9		8.7		246.6		9.0		53.2		31.6		41.5		68.9		35.8		53.4		25.5		0.00		0.08		39.9		34.6		36.7		37.4		34.5		35.6		36.7		32.2		33.8		39.0		31.7		34.0		llc


																																																					
M = Missing Data																																																					
E = Estimated Data																																																					
																																																					

If ICN data are used, the program and network should be referenced.  Our suggested citation is
Water and Atmospheric Resources Monitoring Program. Illinois Climate Network. (2018). Illinois State Water Survey, 2204 Griffith Drive, Champaign, IL 61820-7495. http://dx.doi.org/10.13012/J8MW2F2Q.
