year	month	day	max_wind_gust	xwser	avg_wind_speed	awser	avg_wind_dir	awder	sol_rad	soler	max_air_temp	xater	min_air_temp	nater	avg_air_temp	aater	max_rel_hum	xrher	min_rel_hum	nrher	avg_rel_hum	arher	avg_dewpt_temp	adper	precip	pcer	pot_evapot	pevaper	max_soiltemp_4in_sod	xst4soder	min_soiltemp_4in_sod	nst4soder	avg_soiltemp_4in_sod	ast4soder	max_soiltemp_8in_sod	xst8soder	min_soiltemp_8in_sod	nst8soder	avg_soiltemp_8in_sod	ast8soder	max_soiltemp_4in_bare	xst4bareer	min_soiltemp_4in_bare	nst4bareer	avg_soiltemp_4in_bare	ast4bareer	max_soiltemp_2in_bare	xst2bareer	min_soiltemp_2in_bare	nst2bareer	avg_soiltemp_2in_bare	ast2bareer	site
			mph		mph		deg		MJ/m*m		degF		degF		degF		%		%		%		degF		in		in		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		
2018	1	1	15.5		9.6		290.5		11.7		-3.5		-20.3		-11.7		80.0		67.3		72.7		-18.0		0.00		0.01		29.8		28.4		29.1		32.0		31.4		31.7		31.6		31.1		31.3		28.9		27.9		28.3		mon
2018	1	2	25.9		11.1		233.3		12.2		15.2		-19.6		-3.6		82.0		58.9		72.4		-10.4		0.00		0.02		28.7		27.6		28.2		31.5		30.5		31.0		31.1		30.7		30.9		28.5		27.4		27.9		mon
2018	1	3	27.0		13.6		297.5		11.1		18.4		-4.3		9.4		90.0		61.6		78.7		4.1		0.00		0.02		29.4		28.2		28.9		30.6		30.3		30.5		31.2		30.7		31.0		29.9		28.2		29.3		mon
2018	1	4	11.1		6.6		316.0		8.2		7.5		-10.2		0.5		87.1		65.5		77.0		-5.1		0.00		0.02		28.4		27.2		27.9		30.3		29.7		29.9		30.8		30.4		30.6		29.1		27.8		28.5		mon
2018	1	5	15.4		6.2		262.1		11.6		8.6		-6.6		4.9		83.2		63.3		74.1		-1.6		0.00		0.02		28.8		27.3		28.2		29.7		29.3		29.6		30.9		30.3		30.7		29.4		27.9		28.9		mon
2018	1	6	21.3		7.1		158.7		13.1		12.2		-11.1		1.6		90.8		61.8		77.2		-4.0		0.00		0.03		27.7		26.2		27.0		29.4		28.6		28.8		30.4		29.9		30.2		28.7		27.0		27.9		mon
2018	1	7	28.6		12.3		180.9		3.6		33.3		12.0		26.0		100.4		63.0		83.7		21.6		0.10		0.02		30.0		27.3		28.6		29.8		28.6		29.0		31.3		30.2		30.6		30.9		28.4		29.6		mon
2018	1	8	18.1		9.4		250.2		9.8		37.0		26.8		31.9		100.8		85.8		94.4		30.5		0.07		0.03		31.4		30.0		30.8		30.7		29.8		30.3		31.7		31.2		31.5		31.5		30.9		31.2		mon
2018	1	9	23.7		11.1		155.3		4.1		33.4		27.1		30.4		100.8		94.6		99.1		30.2		0.03		0.01		31.6		31.3		31.5		31.0		30.6		30.8		31.8		31.7		31.8		31.7		31.5		31.6		mon
2018	1	10	31.1		16.0		168.5		4.3		50.8		33.1		42.5		101.0		88.4		96.4		41.4		0.07		0.02		31.7		31.6		31.7		31.1		31.0		31.1		32.2		31.8		31.9		36.6		31.6		33.2		mon
2018	1	11	28.8		13.3		262.1		1.1		53.2		9.2		32.3		99.6		77.7		91.8		30.3		0.24		0.01		31.9		31.7		31.8		31.3		31.1		31.2		35.1		32.2		33.3		39.3		31.5		35.3		mon
2018	1	12	29.4		17.8		342.0		6.3		16.9		8.9		12.5		90.0		75.0		82.8		8.2		0.00		0.02		31.9		30.9		31.8		31.3		31.2		31.3		32.2		29.5		31.6		31.5		22.4		27.1		mon
2018	1	13	19.1		8.5		296.1		11.8		14.5		2.5		7.9		84.2		54.8		72.1		0.7		0.00		0.03		30.9		26.9		29.0		31.3		29.7		30.6		30.3		25.9		28.1		29.2		18.9		22.9		mon
2018	1	14	24.9		12.3		156.0		4.8		22.6		2.0		15.6		97.7		66.7		83.9		11.5		0.02		0.02		28.7		26.1		27.3		29.7		28.5		28.9		28.7		24.9		26.8		27.6		18.1		23.5		mon
2018	1	15	29.9		17.9		276.3		7.6		25.7		-3.1		8.5		98.9		73.8		83.0		4.4		0.02		0.01		29.2		27.3		28.7		29.4		28.8		29.3		29.2		26.5		28.5		28.2		21.8		26.4		mon
2018	1	16	22.3		12.2		294.3		9.2		11.6		-5.2		2.6		88.5		77.3		82.6		-1.5		0.00		0.02		28.5		26.6		27.4		28.8		28.0		28.4		28.0		25.2		26.5		26.8		20.6		23.4		mon
2018	1	17	23.3		11.7		238.7		13.0		20.2		-5.7		8.8		88.8		68.6		82.2		4.4		0.00		0.03		28.3		26.3		27.3		28.4		27.7		28.1		28.3		25.0		26.7		27.3		21.2		24.2		mon
2018	1	18	25.7		15.2		219.9		11.9		34.6		14.2		24.8		84.2		61.2		74.6		17.8		0.00		0.05		29.5		26.9		28.1		29.2		28.0		28.4		30.0		26.9		28.3		30.3		24.5		27.1		mon
2018	1	19	28.3		17.0		207.9		9.7		43.8		27.7		36.2		77.9		58.9		69.3		27.0		0.00		0.06		30.7		28.7		29.6		30.0		29.1		29.4		31.0		28.3		29.7		31.3		26.5		29.3		mon
2018	1	20	21.2		9.9		193.3		6.1		45.2		32.3		40.1		93.8		72.3		85.6		36.1		0.00		0.03		31.3		30.6		30.9		30.6		30.0		30.3		31.6		31.0		31.3		31.9		31.3		31.6		mon
2018	1	21	22.1		9.8		139.0		2.8		52.5		38.5		45.8		97.6		88.7		93.8		44.1		0.03		0.02		31.6		31.2		31.4		30.9		30.6		30.7		32.6		31.6		31.8		38.9		31.9		34.7		mon
2018	1	22	32.4		14.2		194.0		8.3		56.4		33.4		46.9		98.9		60.6		87.8		43.2		0.22		0.05		31.8		31.6		31.7		31.1		30.9		31.0		38.4		32.6		35.1		46.3		33.4		39.8		mon
2018	1	23	28.8		15.2		304.1		3.9		35.7		27.1		31.3		99.4		75.1		85.5		27.4		0.00		0.02		31.9		31.8		31.9		31.2		31.0		31.1		33.2		32.1		32.4		33.8		18.1		32.5		mon
2018	1	24	15.5		7.2		267.2		10.0		35.5		24.3		28.9		96.0		62.6		82.7		24.2		0.00		0.04		31.9		31.9		31.9		31.3		31.2		31.2		32.1		32.0		32.1		32.0		31.9		32.0		mon
2018	1	25	22.1		11.7		171.2		12.5		49.8		29.3		38.1		93.0		50.6		75.6		30.7		0.00		0.07		31.9		31.9		31.9		31.3		31.2		31.3		35.2		32.0		32.7		37.0		31.9		32.7		mon
2018	1	26	32.5		17.4		178.5		7.7		55.1		35.1		44.2		79.3		51.4		66.9		33.7		0.00		0.07		31.9		31.9		31.9		31.4		31.3		31.3		36.9		32.0		33.8		41.2		31.9		35.1		mon
2018	1	27	20.7		9.3		258.3		13.0		50.3		32.7		40.2		91.1		39.0		71.2		31.0		0.00		0.08		32.0		31.9		31.9		31.4		31.3		31.3		40.6		32.7		36.0		45.6		32.3		37.1		mon
2018	1	28	20.1		9.1		303.4		8.7		39.0		23.3		31.2		98.3		68.4		82.9		26.5		0.00		0.04		32.0		31.9		32.0		31.4		31.3		31.4		34.2		32.6		33.2		33.9		32.0		32.4		mon
2018	1	29	22.6		11.8		328.5		9.8		27.8		17.4		24.2		84.2		58.5		75.4		17.5		0.00		0.04		32.0		31.9		32.0		31.4		31.4		31.4		32.9		32.4		32.6		32.2		31.4		32.0		mon
2018	1	30	30.1		12.2		206.7		8.8		32.7		10.6		23.7		93.8		53.2		72.5		15.6		0.00		0.05		32.0		31.9		32.0		31.4		31.4		31.4		32.4		32.1		32.2		31.6		26.7		30.1		mon
2018	1	31	29.7		13.1		249.2		6.4		43.4		32.1		37.6		84.8		53.2		66.0		27.2		0.00		0.06		32.0		31.9		31.9		31.4		31.4		31.4		32.1		32.0		32.1		31.8		30.3		31.2		mon


																																																					
M = Missing Data																																																					
E = Estimated Data																																																					
																																																					

If ICN data are used, the program and network should be referenced.  Our suggested citation is
Water and Atmospheric Resources Monitoring Program. Illinois Climate Network. (2018). Illinois State Water Survey, 2204 Griffith Drive, Champaign, IL 61820-7495. http://dx.doi.org/10.13012/J8MW2F2Q.
																																																					
