year	month	day	max_wind_gust	xwser	avg_wind_speed	awser	avg_wind_dir	awder	sol_rad	soler	max_air_temp	xater	min_air_temp	nater	avg_air_temp	aater	max_rel_hum	xrher	min_rel_hum	nrher	avg_rel_hum	arher	avg_dewpt_temp	adper	precip	pcer	pot_evapot	pevaper	max_soiltemp_4in_sod	xst4soder	min_soiltemp_4in_sod	nst4soder	avg_soiltemp_4in_sod	ast4soder	max_soiltemp_8in_sod	xst8soder	min_soiltemp_8in_sod	nst8soder	avg_soiltemp_8in_sod	ast8soder	max_soiltemp_4in_bare	xst4bareer	min_soiltemp_4in_bare	nst4bareer	avg_soiltemp_4in_bare	ast4bareer	max_soiltemp_2in_bare	xst2bareer	min_soiltemp_2in_bare	nst2bareer	avg_soiltemp_2in_bare	ast2bareer	site
			mph		mph		deg		MJ/m*m		degF		degF		degF		%		%		%		degF		in		in		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		
2018	1	1	14.8		4.5		256.8		12.1		11.1		-4.6		2.3		80.0		41.4		66.6		-6.5		0.00		0.02		32.0		30.8		31.5		33.5		32.9		33.2		29.3		24.0		26.3		28.2		19.7		23.2		oln
2018	1	2	12.7		3.6		237.6		12.7		17.8		-6.0		5.6		86.4		41.0		67.5		-3.4		0.00		0.03		31.1		29.9		30.4		32.9		32.4		32.6		29.1		22.6		25.5		28.4		18.7		22.9		oln
2018	1	3	18.3		7.3		286.3		5.7		25.5		6.7		16.5		87.3		50.3		67.0		7.3		0.00		0.03		30.9		29.6		30.3		32.4		32.1		32.2		29.4		24.4		26.9		28.8		21.5		25.2		oln
2018	1	4	16.1		4.6		241.1		11.9		17.0		1.3		9.2		81.4		45.3		66.9		0.1		0.00		0.03		30.6		28.9		29.8		32.1		31.8		31.9		28.8		23.0		26.0		28.3		19.6		24.0		oln
2018	1	5	13.1		4.3		117.1		7.9		20.3		2.4		11.6		72.4		44.6		63.3		1.4		0.00		0.03		30.9		29.3		30.0		31.8		31.6		31.7		29.5		24.9		27.0		29.3		21.8		25.4		oln
2018	1	6	9.5		2.3		119.7		12.5		20.9		-4.0		8.9		88.2		32.6		61.6		-2.6		0.00		0.04		30.5		27.8		29.1		31.6		31.0		31.3		28.8		21.8		25.2		28.6		18.4		23.1		oln
2018	1	7	20.9		8.8		183.5		5.4		40.3		14.6		29.2		99.0		34.9		55.6		14.4		0.19		0.05		31.2		28.8		29.9		31.6		31.0		31.3		30.7		24.9		27.9		30.7		22.7		27.2		oln
2018	1	8	13.7		4.8		268.5		2.0		39.0		31.4		35.8		102.2		96.6		100.6		35.9		0.10		0.01		31.6		31.2		31.5		31.8		31.6		31.8		31.5		30.7		31.2		31.4		30.7		31.1		oln
2018	1	9	10.2		3.5		151.9		3.1		39.6		30.0		33.8		102.9		93.4		100.3		33.9		0.01		0.01		31.7		31.6		31.6		31.9		31.8		31.9		31.6		31.4		31.6		31.7		31.4		31.5		oln
2018	1	10	20.0		8.6		189.1		1.6		56.4		39.4		50.2		103.0		95.0		100.6		50.3		0.12		0.01		31.8		31.7		31.7		32.0		31.9		31.9		35.7		31.6		32.9		39.6		31.6		35.4		oln
2018	1	11	22.4		8.7		222.2		2.7		61.2		22.4		52.7		101.8		92.6		97.9		52.2		0.30		0.02		34.6		31.8		33.1		32.0		31.9		32.0		41.4		35.2		38.3		45.7		34.7		41.9		oln
2018	1	12	25.3		10.1		208.1		1.8		23.8		14.9		20.1		98.7		75.1		89.8		17.5		0.31		0.01		32.9		31.8		32.0		32.1		31.9		32.0		35.2		31.8		32.2		34.7		31.6		32.0		oln
2018	1	13	19.1		5.2		116.2		11.9		23.3		12.0		17.1		82.6		49.6		70.4		9.1		0.00		0.04		31.9		31.8		31.9		32.2		32.0		32.1		31.8		31.7		31.8		31.8		31.6		31.7		oln
2018	1	14	15.8		5.5		138.6		11.1		21.6		3.9		15.7		97.1		50.8		78.2		9.8		0.02		0.03		32.1		31.8		32.0		32.7		32.2		32.4		32.0		31.8		31.9		31.8		30.7		31.2		oln
2018	1	15	19.8		8.1		266.4		4.2		27.2		6.4		18.7		101.1		67.0		83.8		14.5		0.14		0.02		32.3		32.1		32.2		32.9		32.6		32.8		32.1		31.9		32.0		31.5		30.9		31.2		oln
2018	1	16	17.4		6.0		300.1		9.7		9.1		-3.0		4.1		87.5		67.3		76.5		-1.6		0.00		0.02		32.3		32.2		32.3		33.1		32.9		33.0		32.1		32.0		32.0		31.5		31.2		31.4		oln
2018	1	17	9.6		4.0		258.1		13.9		18.6		-2.5		9.1		91.5		66.6		80.6		4.3		0.00		0.03		32.3		32.3		32.3		33.2		33.1		33.1		32.1		32.0		32.0		31.5		31.1		31.3		oln
2018	1	18	20.8		8.6		215.1		13.5		30.0		9.4		20.6		87.7		55.0		70.6		12.2		0.00		0.05		32.3		32.3		32.3		33.2		33.2		33.2		32.1		32.0		32.0		31.6		31.0		31.3		oln
2018	1	19	21.4		8.8		207.4		13.3		39.2		20.2		30.0		79.3		54.4		67.2		20.2		0.00		0.06		32.3		32.3		32.3		33.2		33.2		33.2		32.1		32.0		32.1		31.7		31.3		31.5		oln
2018	1	20	18.7		8.0		211.0		12.0		49.2		31.4		40.0		97.8		57.3		75.5		32.6		0.00		0.07		32.4		32.3		32.3		33.2		33.2		33.2		32.1		32.1		32.1		31.7		31.5		31.6		oln
2018	1	21	14.6		5.9		183.5		2.1		53.4		42.2		49.1		102.9		88.9		98.2		48.6		0.05		0.01		33.0		32.3		32.4		33.4		33.2		33.2		33.7		32.1		32.2		33.4		31.3		31.7		oln
2018	1	22	34.8		12.4		210.7		5.8		59.4		40.3		52.3		99.7		47.3		76.6		44.8		0.35		0.06		40.0		33.0		36.9		38.0		33.4		35.6		44.6		33.7		39.9		47.8		33.4		41.3		oln
2018	1	23	24.8		10.8		288.6		1.9		40.4		32.2		35.1		98.0		75.0		86.9		31.6		0.00		0.02		38.5		35.8		36.9		37.9		36.6		37.2		40.1		35.5		37.4		39.4		18.4		36.5		oln
2018	1	24	17.0		3.3		254.1		7.7		36.8		23.5		31.1		98.3		63.6		81.3		25.9		0.00		0.03		37.5		35.2		35.9		37.1		36.0		36.4		39.5		34.4		36.1		40.7		33.3		35.4		oln
2018	1	25	20.7		7.2		184.4		13.5		55.0		26.2		39.9		93.6		44.1		70.6		30.4		0.00		0.08		38.1		33.9		35.7		37.4		35.2		36.2		41.3		33.8		36.6		43.2		32.6		36.1		oln
2018	1	26	27.0		10.8		200.5		12.1		57.6		39.0		48.6		70.0		30.3		48.9		29.4		0.00		0.11		40.1		35.3		37.8		39.3		36.3		37.5		42.3		34.6		38.4		45.0		33.7		38.7		oln
2018	1	27	19.3		5.7		202.5		3.4		52.5		29.4		45.5		101.5		44.4		85.5		40.9		0.41		0.03		43.0		39.7		41.0		41.6		39.3		40.4		45.5		38.6		42.1		46.9		36.5		42.2		oln
2018	1	28	15.9		2.2		173.9		14.1		55.1		24.3		38.4		102.4		32.1		75.8		29.8		0.01		0.08		41.9		36.6		39.2		40.8		38.1		39.6		45.9		35.8		39.9		48.5		34.2		39.3		oln
2018	1	29	22.5		6.5		251.8		4.1		35.3		25.3		30.8		94.0		62.2		79.6		25.1		0.00		0.03		39.4		36.6		38.0		40.1		38.0		38.9		39.2		35.3		37.1		38.8		34.0		35.8		oln
2018	1	30	17.4		4.5		182.7		14.9		34.2		15.8		26.8		96.5		45.8		70.8		18.2		0.00		0.07		37.0		34.7		35.8		38.0		36.3		37.0		38.0		33.8		35.3		38.4		32.5		34.1		oln
2018	1	31	32.1		10.5		226.1		11.3		52.3		31.1		41.1		84.3		45.9		60.4		28.2		0.00		0.08		38.7		34.5		36.3		38.1		35.9		36.8		40.3		33.8		36.4		42.0		32.7		36.0		oln


																																																					
M = Missing Data																																																					
E = Estimated Data																																																					
																																																					

If ICN data are used, the program and network should be referenced.  Our suggested citation is
Water and Atmospheric Resources Monitoring Program. Illinois Climate Network. (2018). Illinois State Water Survey, 2204 Griffith Drive, Champaign, IL 61820-7495. http://dx.doi.org/10.13012/J8MW2F2Q.																																																				
