year	month	day	max_wind_gust	xwser	avg_wind_speed	awser	avg_wind_dir	awder	sol_rad	soler	max_air_temp	xater	min_air_temp	nater	avg_air_temp	aater	max_rel_hum	xrher	min_rel_hum	nrher	avg_rel_hum	arher	avg_dewpt_temp	adper	precip	pcer	pot_evapot	pevaper	max_soiltemp_4in_sod	xst4soder	min_soiltemp_4in_sod	nst4soder	avg_soiltemp_4in_sod	ast4soder	max_soiltemp_8in_sod	xst8soder	min_soiltemp_8in_sod	nst8soder	avg_soiltemp_8in_sod	ast8soder	max_soiltemp_4in_bare	xst4bareer	min_soiltemp_4in_bare	nst4bareer	avg_soiltemp_4in_bare	ast4bareer	max_soiltemp_2in_bare	xst2bareer	min_soiltemp_2in_bare	nst2bareer	avg_soiltemp_2in_bare	ast2bareer	site
			mph		mph		deg		MJ/m*m		degF		degF		degF		%		%		%		degF		in		in		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		
2018	1	1	16.0		6.5		297.0		10.9		5.6		-12.2		-4.5		79.7		52.6		68.6		-12.3		0.00		0.02		31.6		30.6		31.1		33.8		33.2		33.5		30.7		28.9		29.9		28.9		25.3		26.8		orr
2018	1	2	18.1		5.1		245.8		11.5		18.5		-9.2		4.6		83.4		41.7		63.6		-5.5		0.00		0.03		30.7		29.9		30.3		33.2		32.7		32.9		30.0		28.0		28.9		28.7		24.2		26.2		orr
2018	1	3	26.6		9.6		291.5		10.0		21.6		3.9		15.5		77.4		46.6		62.6		4.9		0.00		0.03		30.8		30.0		30.4		32.7		32.5		32.6		30.7		28.8		29.8		30.2		26.2		28.4		orr
2018	1	4	14.4		4.2		259.5		8.6		12.3		-3.4		5.9		86.8		53.3		72.7		-1.2		0.01		0.02		30.3		29.3		29.8		32.5		32.1		32.3		29.6		27.5		28.7		28.6		24.1		26.5		orr
2018	1	5	8.9		2.8		168.1		8.6		18.5		-0.5		10.3		87.5		49.3		73.8		3.4		0.00		0.03		30.7		29.6		30.1		32.2		32.1		32.1		30.5		28.5		29.7		30.1		25.8		28.3		orr
2018	1	6	17.7		5.6		188.7		11.8		18.3		-7.5		7.3		89.2		45.3		68.4		-1.4		0.00		0.03		29.8		28.6		29.3		32.1		31.7		31.9		29.4		26.9		28.2		28.6		23.7		26.1		orr
2018	1	7	19.4		8.8		160.9		2.1		36.0		17.8		29.2		101.0		48.2		75.9		21.9		0.27		0.02		31.1		29.3		30.0		31.8		31.6		31.7		31.4		28.7		30.0		31.8		27.3		29.7		orr
2018	1	8	13.5		4.6		263.1		3.3		36.4		29.6		33.1		102.2		91.7		98.7		32.8		0.00		0.01		31.4		31.0		31.2		32.1		31.8		31.9		32.0		31.4		31.7		32.4		31.8		32.1		orr
2018	1	9	15.2	M	6.5	M	154.7	M	4.9	M	38.1	M	29.6	M	31.6	M	102.8	M	85.3	M	100.3	M	31.6	M	0.00	M	0.02	M	31.5	M	31.4	M	31.4	M	32.2	M	32.0	M	32.1	M	32.1	M	31.9	M	32.0	M	32.5	M	32.4	M	32.4	M	orr
2018	1	10	---	M	---	M	---	M	---	M	---	M	---	M	---	M	---	M	---	M	---	M	---	M	---	M	---	M	---	M	---	M	---	M	---	M	---	M	---	M	---	M	---	M	---	M	---	M	---	M	---	M	orr
2018	1	11	29.7	M	15.8	M	304.0	M	0.5	M	58.1	M	11.8	M	24.6	M	99.8	M	73.0	M	86.5	M	21.1	M	0.03	M	0.01	M	38.3	M	33.8	M	36.3	M	36.1	M	35.1	M	35.7	M	42.2	M	35.1	M	38.5	M	46.2	M	33.6	M	37.9	M	orr
2018	1	12	26.2		12.1		323.7		5.5		17.5		8.6		13.1		84.6		74.6		79.8		8.0		0.00		0.02		33.8		32.2		32.7		35.2		33.7		34.2		35.1		32.4		33.3		33.6		24.4		29.5		orr
2018	1	13	13.8		5.1		316.7		8.5		19.3		6.5		13.1		88.7		41.0		66.3		3.6		0.00		0.03		32.3		31.7		31.9		33.7		33.2		33.4		32.4		29.7		31.3		31.4		22.5		26.2		orr
2018	1	14	21.6		9.6		144.1		4.8		26.3		8.9		19.9		99.3		51.7		77.7		13.9		0.04		0.02		31.7		31.4		31.5		33.2		32.9		33.1		31.0		28.8		30.0		30.2		22.6		26.8		orr
2018	1	15	26.8		11.7		283.2		10.9		29.6		0.0		13.9		100.9		59.5		76.5		7.8		0.05		0.03		31.5		31.2		31.4		32.9		32.8		32.9		31.5		30.3		31.1		31.0		27.0		29.7		orr
2018	1	16	20.8		7.8		290.2		9.4		10.2		-3.4		3.0		85.1		66.8		76.0		-2.8		0.00		0.02		31.2		30.7		31.0		32.8		32.6		32.7		30.6		29.1		29.8		29.4		25.2		27.0		orr
2018	1	17	15.2		5.7		255.1		12.5		23.3		-1.2		11.9		89.9		58.6		75.6		5.5		0.00		0.04		31.0		30.2		30.6		32.6		32.3		32.5		30.7		28.2		29.5		30.2		24.2		27.1		orr
2018	1	18	24.1		9.6		232.4		11.8		42.2		18.1		30.7		73.7		39.1		54.3		15.6		0.00		0.07		31.3		29.9		30.6		32.3		32.2		32.3		31.4		29.5		30.4		31.7		27.3		29.5		orr
2018	1	19	21.1		9.2		213.0		10.6		54.1		34.8		43.5		52.8		32.0		43.9		22.8		0.00		0.09		31.4		30.8		31.1		32.3		32.2		32.3		31.8		30.1		31.1		32.3		27.8		30.6		orr
