year	month	day	max_wind_gust	xwser	avg_wind_speed	awser	avg_wind_dir	awder	sol_rad	soler	max_air_temp	xater	min_air_temp	nater	avg_air_temp	aater	max_rel_hum	xrher	min_rel_hum	nrher	avg_rel_hum	arher	avg_dewpt_temp	adper	precip	pcer	pot_evapot	pevaper	max_soiltemp_4in_sod	xst4soder	min_soiltemp_4in_sod	nst4soder	avg_soiltemp_4in_sod	ast4soder	max_soiltemp_8in_sod	xst8soder	min_soiltemp_8in_sod	nst8soder	avg_soiltemp_8in_sod	ast8soder	max_soiltemp_4in_bare	xst4bareer	min_soiltemp_4in_bare	nst4bareer	avg_soiltemp_4in_bare	ast4bareer	max_soiltemp_2in_bare	xst2bareer	min_soiltemp_2in_bare	nst2bareer	avg_soiltemp_2in_bare	ast2bareer	site
			mph		mph		deg		MJ/m*m		degF		degF		degF		%		%		%		degF		in		in		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		
2018	1	1	13.9		5.1		311.1		11.5		12.7		-1.8		5.2		76.5		37.1		60.1		-6.0		0.00		0.03		31.9		30.2		31.0		34.7		33.8		34.1		30.5		26.6		28.4		29.5		20.7		24.3		rnd
2018	1	2	8.5		2.3		192.3		11.6		21.3		-2.6		7.9		79.8		37.8		63.7		-2.1		0.00		0.03		30.8		29.1		29.9		33.8		33.0		33.3		30.3		25.1		27.5		29.8		19.9		24.1		rnd
2018	1	3	16.2		5.9		270.5		6.7		27.7		10.8		19.2		70.0		44.4		59.6		7.4		0.00		0.04		31.0		29.2		30.1		33.1		32.8		32.9		30.7		26.4		28.6		30.3		22.5		26.5		rnd
2018	1	4	18.2		4.9		318.1		11.3		20.3		4.0		12.4		79.0		40.2		60.2		0.7		0.00		0.03		30.6		28.4		29.6		32.8		32.5		32.6		30.1		24.9		27.7		29.7		20.4		25.2		rnd
2018	1	5	8.9		2.3		219.3		4.5		20.9		6.5		15.2		81.4		54.6		68.2		6.6		0.00		0.02		30.9		29.2		30.1		32.6		32.4		32.5		30.4		27.2		28.8		30.0		23.4		26.9		rnd
2018	1	6	14.2		3.5		105.4		12.1		22.9		-1.8		10.8		86.1		30.7		61.3		-0.8		0.00		0.04		30.3		27.7		29.0		32.5		32.1		32.2		30.0		24.0		27.0		29.8		19.5		24.4		rnd
2018	1	7	17.2		6.7		158.1		3.9		41.5		15.9		30.7		94.8		33.9		56.1		15.9		0.31		0.04		31.3		28.8		30.1		32.1		32.0		32.1		31.1		27.0		29.1		31.1		24.1		28.1		rnd
2018	1	8	12.0		2.7		262.2		2.0		40.3		33.1		37.0		97.4		93.2		96.0		36.0		0.10		0.01		31.7		31.3		31.5		32.4		32.1		32.2		31.7		31.1		31.5		31.7		31.1		31.4		rnd
2018	1	9	13.1		3.7		114.7		2.4		39.1		32.3		35.7		98.0		94.3		96.9		34.9		0.00		0.01		31.7		31.6		31.7		32.6		32.3		32.5		31.9		31.7		31.8		32.5		31.7		32.0		rnd
2018	1	10	17.1		5.3		173.0		1.5		58.4		38.0		51.4		97.6		87.5		94.4		49.8		0.04		0.01		39.1		31.7		34.2		33.6		32.5		32.7		34.8		31.8		32.5		40.9		32.4		36.7		rnd
2018	1	11	25.0		6.9		208.2		3.3		63.1		22.8		54.0		94.2		81.4		89.5		51.0		0.31		0.03		46.1		39.0		42.9		42.1		33.6		38.8		41.5		34.8		38.4		48.9		35.6		43.5		rnd
2018	1	12	27.5		9.8		327.6		1.7		23.4		15.4		19.8		90.9		69.8		81.1		15.0		0.24		0.01		41.1		34.3		36.4		41.7		36.5		38.5		37.6		34.0		35.0		35.6		32.4		33.3		rnd
2018	1	13	17.3		4.6		283.8		11.2		25.1		15.7		20.1		77.8		51.6		65.9		10.5		0.00		0.04		34.3		32.9		33.5		36.5		35.1		35.7		34.0		33.1		33.4		32.4		30.3		31.6		rnd
2018	1	14	14.8		5.0		138.5		7.5		25.8		11.6		19.6		91.0		44.2		70.6		11.1		0.01		0.03		33.0		32.0		32.3		35.2		34.2		34.6		33.1		32.6		32.8		31.3		27.3		29.7		rnd
2018	1	15	19.5		6.7		260.8		4.2		28.2		10.0		21.5		97.0		56.1		74.3		14.3		0.12		0.02		32.2		32.0		32.1		34.3		34.0		34.1		32.7		32.6		32.6		31.3		29.8		30.7		rnd
2018	1	16	15.0		6.1		297.8		9.7		10.1		1.4		7.1		79.4		60.8		70.3		-0.5		0.00		0.02		32.2		32.1		32.2		34.1		33.9		34.0		32.6		32.5		32.6		31.1		30.0		30.7		rnd
2018	1	17	12.3		4.1		254.0		12.8		23.0		6.3		13.6		83.9		56.7		73.1		6.5		0.00		0.04		32.1		31.9		32.0		33.9		33.8		33.8		32.6		32.5		32.5		31.3		29.8		30.5		rnd
2018	1	18	17.5		6.0		206.4		12.8		38.4		14.3		24.7		80.4		38.5		63.6		13.5		0.00		0.06		32.0		31.7		31.8		33.8		33.6		33.7		32.7		32.5		32.5		31.4		29.8		30.7		rnd
2018	1	19	19.1		6.8		197.2		12.5		45.9		22.2		33.5		78.9		39.6		59.8		20.6		0.00		0.07		32.0		31.8		31.9		33.7		33.6		33.6		32.6		32.5		32.6		31.6		30.6		31.2		rnd
2018	1	20	16.0		5.4		193.5		9.4		52.2		33.8		43.0		89.2		47.7		70.7		33.9		0.00		0.06		32.1		32.0		32.1		33.7		33.6		33.7		32.6		32.5		32.6		31.6		30.7		31.4		rnd
2018	1	21	14.5		4.6		177.8		2.3		56.9		47.6		52.6		95.6		75.5		90.8		49.9		0.00		0.02		36.4		32.1		33.4		34.9		33.7		33.8		40.2		32.5		34.3		42.7		31.6		35.6		rnd
2018	1	22	28.7		10.4		193.3		9.3		62.1		39.6		54.0		94.2		37.1		65.8		42.0		0.43		0.09		44.5		36.4		40.8		41.1		34.9		38.7		48.2		40.2		44.2		53.0		41.2		46.2		rnd
2018	1	23	23.8		8.5		274.7		1.9		40.1		34.7		36.7		81.8		63.6		74.7		29.4		0.00		0.03		40.6		37.3		38.6		40.9		39.1		39.8		43.2		37.8		39.8		41.2		19.5		38.1		rnd
2018	1	24	13.0		3.9		241.1		12.1		42.1		25.9		34.2		94.9		52.3		71.3		25.6		0.00		0.06		40.8		36.1		37.8		39.7		38.2		38.9		42.8		36.1		38.7		45.9		34.0		37.9		rnd
2018	1	25	19.0		5.8		168.6		13.3		60.7		25.7		43.3		95.9		27.7		62.5		29.1		0.01		0.09		40.0		34.9		37.0		39.3		37.1		38.2		42.9		35.5		38.6		46.5		33.5		38.0		rnd
2018	1	26	28.1		7.5		181.1		11.9		60.1		39.8		50.4		66.7		25.1		44.0		28.1		0.00		0.11		41.5		35.8		38.6		40.6		38.1		39.3		44.2		36.3		40.2		47.9		34.1		40.2		rnd
2018	1	27	22.4		4.5		215.5		4.3		55.3		31.7		47.4		96.2		54.6		81.9		41.8		0.41		0.03		44.6		39.8		42.1		42.9		40.6		41.8		47.2		41.3		44.0		50.2		37.3		44.3		rnd
2018	1	28	11.8		1.5		266.3		14.0		56.9		25.8		41.3		98.0		28.1		66.7		28.9		0.00		0.08		42.9		36.6		39.4		42.1		39.3		40.7		46.3		37.2		41.2		50.7		34.5		40.6		rnd
