year	month	day	max_wind_gust	xwser	avg_wind_speed	awser	avg_wind_dir	awder	sol_rad	soler	max_air_temp	xater	min_air_temp	nater	avg_air_temp	aater	max_rel_hum	xrher	min_rel_hum	nrher	avg_rel_hum	arher	avg_dewpt_temp	adper	precip	pcer	pot_evapot	pevaper	max_soiltemp_4in_sod	xst4soder	min_soiltemp_4in_sod	nst4soder	avg_soiltemp_4in_sod	ast4soder	max_soiltemp_8in_sod	xst8soder	min_soiltemp_8in_sod	nst8soder	avg_soiltemp_8in_sod	ast8soder	max_soiltemp_4in_bare	xst4bareer	min_soiltemp_4in_bare	nst4bareer	avg_soiltemp_4in_bare	ast4bareer	max_soiltemp_2in_bare	xst2bareer	min_soiltemp_2in_bare	nst2bareer	avg_soiltemp_2in_bare	ast2bareer	site
			mph		mph		deg		MJ/m*m		degF		degF		degF		%		%		%		degF		in		in		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		
2018	1	1	16.8		6.5		321.9		12.2		12.8		-1.4		4.8		80.6		32.6		57.5		-7.6		0.00		0.03		35.0		34.2		34.5		34.7		33.9		34.3		29.9		24.7		27.0		29.1		20.9		24.1		siu
2018	1	2	13.4		2.3		247.9		12.6		22.2		-4.5		7.4		83.1		32.2		64.3		-3.1		0.00		0.04		34.2		33.7		33.9		33.9		33.3		33.5		29.9		22.3		25.9		29.9		18.9		23.6		siu
2018	1	3	18.9		8.3		275.0		8.3		29.2		11.4		20.1		68.3		39.8		56.3		6.8		0.00		0.04		33.7		33.6		33.7		33.3		33.0		33.2		30.3		24.6		27.5		30.3		21.9		26.4		siu
2018	1	4	16.7		6.2		322.3		11.6		20.2		4.0		13.1		77.2		37.3		57.3		0.2		0.00		0.04		33.7		33.4		33.5		33.2		32.8		33.0		29.5		23.2		26.7		29.4		20.4		25.1		siu
2018	1	5	13.4		3.2		126.1		4.9		22.4		7.4		16.3		89.8		56.2		73.3		9.0		0.00		0.02		33.5		33.4		33.5		32.9		32.8		32.8		30.0		26.8		28.3		30.0		24.5		27.3		siu
2018	1	6	11.9		4.2		69.9		12.1		24.6		2.5		13.4		77.2		27.5		53.2		-1.4		0.00		0.04		33.5		33.1		33.3		33.2		32.6		32.7		30.0		23.2		26.6		30.1		20.7		25.1		siu
2018	1	7	26.3		9.2		168.6		3.4		41.0		14.6		31.5		95.4		35.5		53.9		15.6		0.20		0.05		33.5		33.1		33.3		32.6		32.4		32.5		31.1		26.5		28.8		31.3		24.6		28.5		siu
2018	1	8	12.9		4.0		260.0		1.8		41.3		34.3		37.8		100.5		95.3		98.7		37.4		0.24		0.01		33.6		33.4		33.5		32.6		32.5		32.6		31.7		31.1		31.4		31.8		31.3		31.6		siu
2018	1	9	8.6		3.1		84.4		2.6		39.7		32.6		36.3		100.9		99.9		100.4		36.4		0.09		0.01		33.6		33.5		33.6		32.7		32.6		32.7		31.9		31.6		31.8		32.2		31.8		32.0		siu
2018	1	10	26.1		11.0		176.0		1.9		58.5		37.8		52.4		100.5		90.8		97.4		51.7		0.04		0.01		33.7		33.6		33.6		32.9		32.7		32.8		36.8		31.8		33.1		42.7		32.2		37.8		siu
2018	1	11	30.4		12.2		219.9		4.2		64.5		25.0		55.0		98.8		79.9		92.2		52.7		0.29		0.04		43.1		33.7		38.5		40.4		32.7		35.8		48.8		36.8		43.3		53.9		38.2		47.5		siu
2018	1	12	31.1		15.1		336.2		2.0		25.1		15.1		18.6		96.3		66.7		81.2		13.8		0.40		0.02		41.8		36.5		38.3		40.2		35.9		37.6		41.6		34.1		36.0		38.3		32.9		34.2		siu
2018	1	13	24.7		7.3		304.7		10.8		24.1		13.0		19.0		89.2		58.0		70.1		10.8		0.00		0.04		36.5		35.5		35.9		36.0		34.7		35.2		34.2		33.2		33.6		33.0		32.2		32.5		siu
2018	1	14	18.0		5.8		166.2		7.9		25.7		9.7		18.9		89.6		43.6		70.9		10.5		0.00		0.03		35.5		34.8		35.1		34.7		34.0		34.4		33.3		32.7		32.9		32.2		31.1		31.5		siu
2018	1	15	22.8		9.5		273.3		2.9		29.1		11.7		23.0		98.7		56.3		72.5		15.2		0.07		0.03		34.9		34.7		34.7		34.1		33.8		33.9		32.7		32.6		32.6		31.6		30.8		31.3		siu
2018	1	16	19.1		7.7		312.1		11.9		11.9		1.6		8.0		78.2		57.6		65.9		-1.0		0.00		0.03		34.7		34.4		34.5		33.9		33.6		33.7		32.6		32.4		32.5		31.4		30.2		30.8		siu
2018	1	17	15.2		4.6		266.2		13.6		26.7		3.0		14.5		87.0		47.9		69.3		6.0		0.00		0.04		34.4		34.2		34.3		33.7		33.3		33.5		32.5		32.0		32.2		31.2		29.6		30.4		siu
