year	month	day	max_wind_gust	xwser	avg_wind_speed	awser	avg_wind_dir	awder	sol_rad	soler	max_air_temp	xater	min_air_temp	nater	avg_air_temp	aater	max_rel_hum	xrher	min_rel_hum	nrher	avg_rel_hum	arher	avg_dewpt_temp	adper	precip	pcer	pot_evapot	pevaper	max_soiltemp_4in_sod	xst4soder	min_soiltemp_4in_sod	nst4soder	avg_soiltemp_4in_sod	ast4soder	max_soiltemp_8in_sod	xst8soder	min_soiltemp_8in_sod	nst8soder	avg_soiltemp_8in_sod	ast8soder	max_soiltemp_4in_bare	xst4bareer	min_soiltemp_4in_bare	nst4bareer	avg_soiltemp_4in_bare	ast4bareer	max_soiltemp_2in_bare	xst2bareer	min_soiltemp_2in_bare	nst2bareer	avg_soiltemp_2in_bare	ast2bareer	site
			mph		mph		deg		MJ/m*m		degF		degF		degF		%		%		%		degF		in		in		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		
2018	1	1	15.9		6.7		274.5		9.5		-0.1		-11.5		-6.8		78.6		60.0		69.6		-14.1		0.00		0.01		31.7		30.3		30.8		34.0		33.6		33.8		32.8		31.4		32.0		30.4		29.8		30.1		stc
2018	1	2	18.9		8.0		219.5		10.7		7.7		-14.6		-3.5		79.7		61.5		73.0		-10.0		0.00		0.02		30.3		29.8		30.0		33.7		33.3		33.5		32.5		31.0		31.6		30.1		29.5		29.7		stc
2018	1	3	20.4		5.8		287.7		6.5		17.7		0.1		11.1		87.9		58.5		74.8		4.6		0.00		0.02		31.1		29.8		30.5		33.3		33.2		33.2		33.1		31.1		31.9		30.8		29.6		30.3		stc
2018	1	4	16.7		4.0		338.5		10.7		10.4		-6.0		1.7		84.6		56.0		72.1		-5.3		0.00		0.02		30.4		29.5		30.0		33.2		33.0		33.1		32.3		31.2		31.8		30.4		29.6		30.0		stc
2018	1	5	16.7		2.7		295.1		10.7		10.9		-10.2		1.1		83.8		55.7		72.6		-5.8		0.00		0.02		29.9		28.8		29.3		33.0		32.7		32.8		32.1		30.7		31.4		30.1		29.2		29.6		stc
2018	1	6	12.3		3.8		220.3		10.4		16.1		-10.5		3.2		86.0		42.0		69.1		-5.0		0.00		0.03		29.9		28.3		29.0		32.7		32.4		32.6		32.5		30.5		31.2		30.1		28.8		29.4		stc
2018	1	7	22.9		11.0		195.2		2.4		33.4		8.2		23.2		96.2		62.1		77.7		17.2		0.07		0.02		31.1		29.3		30.1		32.5		32.3		32.4		32.6		30.8		31.7		31.0		29.5		30.2		stc
2018	1	8	20.5		8.3		246.0		6.2		36.7		24.3		32.2		96.9		80.6		91.1		29.9		0.06		0.02		32.0		31.1		31.6		32.5		32.4		32.4		33.7		31.7		32.4		31.5		31.0		31.3		stc
2018	1	9	14.7		4.8		176.9		4.1		34.4		25.3		29.6		96.4		86.8		93.9		28.0		0.00		0.02		32.2		31.7		31.9		32.6		32.5		32.5		33.9		32.0		32.6		31.5		31.1		31.3		stc
