year	month	day	max_wind_gust	xwser	avg_wind_speed	awser	avg_wind_dir	awder	sol_rad	soler	max_air_temp	xater	min_air_temp	nater	avg_air_temp	aater	max_rel_hum	xrher	min_rel_hum	nrher	avg_rel_hum	arher	avg_dewpt_temp	adper	precip	pcer	pot_evapot	pevaper	max_soiltemp_4in_sod	xst4soder	min_soiltemp_4in_sod	nst4soder	avg_soiltemp_4in_sod	ast4soder	max_soiltemp_8in_sod	xst8soder	min_soiltemp_8in_sod	nst8soder	avg_soiltemp_8in_sod	ast8soder	max_soiltemp_4in_bare	xst4bareer	min_soiltemp_4in_bare	nst4bareer	avg_soiltemp_4in_bare	ast4bareer	max_soiltemp_2in_bare	xst2bareer	min_soiltemp_2in_bare	nst2bareer	avg_soiltemp_2in_bare	ast2bareer	site
			mph		mph		deg		MJ/m*m		degF		degF		degF		%		%		%		degF		in		in		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		
2018	1	1	19.5		12.1		283.9		8.7		-7.1		-15.8		-12.0		77.1		67.9		72.3		-18.3		0.00		0.01		31.0		30.2		30.6		32.4		31.9		32.2		30.3		30.1		30.2		28.9		28.7		28.8		ste
2018	1	2	17.7		10.0		231.7		9.1		5.2		-18.2		-7.5		83.2		71.1		76.1		-13.0		0.00		0.01		30.3		29.4		29.9		31.9		31.0		31.5		30.1		29.9		30.0		28.7		28.5		28.6		ste
2018	1	3	26.7		14.6		273.1		6.9		16.5		-2.9		9.1		89.5		70.0		78.2		3.7		0.00		0.02		30.8		29.3		30.1		31.1		30.8		30.9		30.2		29.8		30.0		29.1		28.6		28.8		ste
2018	1	4	20.0		13.4		313.3		8.8		6.0		-7.5		-1.9		82.1		68.1		76.0		-7.6		0.00		0.02		30.6		29.8		30.2		31.0		30.6		30.8		30.2		29.9		30.0		29.0		28.7		28.8		ste
2018	1	5	16.8		10.7		310.8		9.4		6.3		-11.1		-3.4		82.7		67.2		76.9		-8.9		0.00		0.02		30.3		29.5		29.9		30.7		30.4		30.5		29.9		29.6		29.8		28.8		28.4		28.6		ste
2018	1	6	15.3		7.0		250.5		9.4		8.2		-12.1		-4.3		85.5		66.2		78.0		-9.4		0.00		0.02		30.1		29.0		29.5		30.4		30.1		30.3		29.7		29.4		29.6		28.5		28.2		28.4		ste
2018	1	7	29.2		14.8		175.0		3.2		32.8		2.5		23.1		100.5		69.1		78.4		17.3		0.12		0.02		31.4		29.4		30.0		30.7		30.1		30.3		30.2		29.3		29.6		29.3		28.2		28.6		ste
2018	1	8	22.2		12.2		250.2		4.4		33.3		24.2		30.5		101.3		89.0		96.5		29.6		0.08		0.01		32.1		31.4		31.8		31.5		30.7		31.2		30.5		30.2		30.4		29.6		29.2		29.5		ste
2018	1	9	19.1		8.7		161.4		3.7		31.9		25.3		28.2		101.1		99.6		100.5		28.3		0.00		0.01		32.3		32.1		32.2		31.7		31.5		31.6		30.6		30.5		30.6		29.6		29.5		29.5		ste
2018	1	10	32.9		15.6		163.4		2.1		52.4		31.5		39.3		102.6		93.9		100.6		39.4		0.08		0.01		32.5		32.2		32.4		31.9		31.7		31.8		34.7		30.6		30.9		40.0		29.5		30.6		ste
2018	1	11	34.7		20.9		219.3		1.7		58.4		17.2		45.5		101.5		85.7		96.6		44.6		0.11		0.01		40.7		32.5		36.8		33.3		31.9		32.3		47.6		34.7		42.0		51.9		31.9		43.8		ste
2018	1	12	33.7		21.4		295.2		2.0		22.4		15.2		19.3		89.5		65.8		79.4		13.9		0.00		0.02		36.5		33.1		34.1		33.3		33.1		33.2		36.5		31.0		32.9		31.9		23.6		28.4		ste
2018	1	13	26.8		11.6		317.0		8.7		17.1		2.3		10.1		85.5		46.7		70.0		2.1		0.00		0.03		33.1		31.6		32.4		33.1		32.5		32.8		31.1		24.8		28.3		26.4		15.9		20.9		ste
2018	1	14	26.5		10.7		194.9		7.5		22.7		-1.9		12.1		94.0		49.5		78.1		6.2		0.06		0.02		31.6		30.2		31.0		32.6		32.0		32.2		27.2		21.7		24.8		25.5		13.0		19.8		ste
2018	1	15	27.9		16.5		232.8		6.2		23.8		-0.5		12.5		98.8		79.3		89.1		9.9		0.13		0.01		31.7		31.0		31.4		32.0		31.9		32.0		28.5		25.7		27.6		26.9		23.8		25.7		ste
2018	1	16	24.4		15.5		277.7		8.0		14.2		-3.1		6.0		87.5		79.9		83.7		2.1		0.00		0.02		31.1		30.2		30.7		32.0		31.6		31.8		25.9		23.4		24.6		25.6		22.8		23.9		ste
2018	1	17	24.1		11.1		249.7		10.2		17.4		-3.7		8.2		87.2		77.0		82.7		4.1		0.00		0.02		30.8		29.9		30.4		31.6		31.4		31.5		25.3		21.7		23.6		24.9		20.6		22.9		ste
2018	1	18	26.4		15.0		218.7		9.1		31.0		12.8		21.0		88.7		68.5		78.9		15.5		0.00		0.03		30.6		29.3		30.0		31.4		31.1		31.3		27.4		23.4		25.3		27.1		22.6		24.7		ste
2018	1	19	29.4		16.0		200.0		8.1		37.4		19.5		29.8		86.7		69.3		78.7		24.0		0.00		0.04		31.8		30.0		30.8		31.6		31.1		31.3		29.2		25.2		27.1		28.9		24.4		26.7		ste
2018	1	20	20.7		9.6		194.2		7.1		44.3		27.3		35.9		97.5		78.8		88.5		32.8		0.00		0.03		32.1		31.5		31.8		31.8		31.6		31.7		30.3		27.8		29.3		29.6		25.2		28.3		ste
2018	1	21	16.9		7.5		136.3		1.2		45.8		36.1		40.7		102.7		97.0		101.6		41.1		0.03		0.00		32.3		32.0		32.2		31.9		31.7		31.8		31.0		30.2		30.5		35.1		29.6		32.0		ste
2018	1	22	33.7		15.8		182.2		2.9		53.0		35.5		41.9		102.9		81.0		94.7		40.4		0.23		0.02		33.3		32.2		32.7		32.0		31.9		31.9		37.8		31.0		34.3		44.5		32.6		38.2		ste
2018	1	23	28.2		14.2		283.4		1.8		36.5		26.8		31.9		98.9		80.1		91.4		29.6		0.01		0.01		32.8		32.4		32.5		32.0		31.9		32.0		33.2		30.8		31.4		32.6		13.0		30.8		ste
2018	1	24	17.3		7.8		266.8		2.8		30.0		20.7		26.3		98.6		76.3		87.7		23.1		0.00		0.02		32.5		32.4		32.4		32.1		32.0		32.1		30.9		30.8		30.8		29.8		29.7		29.7		ste
2018	1	25	25.9		11.2		158.4		9.5		46.2		23.2		32.6		96.5		69.7		87.8		29.3		0.00		0.04		32.7		32.4		32.5		32.3		32.1		32.2		31.0		30.9		30.9		29.7		28.6		29.5		ste
2018	1	26	33.2		16.4		178.7		7.1		52.1		32.1		41.7		92.4		56.2		75.8		34.3		0.00		0.06		35.4		32.7		33.4		32.7		32.3		32.4		34.7		30.9		31.8		35.8		29.6		31.7		ste
2018	1	27	26.5		10.6		251.4		9.2		50.5		28.0		42.0		93.3		39.0		75.1		34.1		0.00		0.06		40.1		35.3		37.4		36.4		32.6		34.7		42.0		34.4		37.5		46.2		31.2		37.8		ste
2018	1	28	20.7		8.1		275.3		9.5		48.4		26.4		35.4		92.3		54.8		80.3		29.7		0.00		0.05		38.6		34.4		36.2		36.0		34.3		35.2		38.2		32.4		34.2		41.8		30.2		32.9		ste
2018	1	29	22.4		12.4		323.1		3.3		31.7		16.3		25.7		87.2		68.1		78.6		20.0		0.00		0.02		36.5		34.1		35.1		35.8		34.4		35.1		33.5		31.6		32.3		31.0		28.7		30.2		ste
2018	1	30	28.0		10.0		217.2		10.0		32.3		9.3		22.9		90.3		50.2		73.7		15.4		0.00		0.05		34.1		33.2		33.4		34.4		33.5		33.9		31.7		30.8		31.0		29.5		23.0		27.6		ste
2018	1	31	33.2		15.2		228.4		4.1		43.7		29.0		35.8		87.0		55.7		68.9		26.4		0.00		0.05		33.2		33.1		33.2		33.5		33.4		33.5		30.8		30.7		30.7		29.6		26.9		28.6		ste

																																																					
																																																					
M = Missing Data																																																					
E = Estimated Data																																																					
																																																					

If ICN data are used, the program and network should be referenced.  Our suggested citation is
Water and Atmospheric Resources Monitoring Program. Illinois Climate Network. (2018). Illinois State Water Survey, 2204 Griffith Drive, Champaign, IL 61820-7495. http://dx.doi.org/10.13012/J8MW2F2Q.
